Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 57416.83648747789 2.7563411637159256
Redshift 0.01461 0 F
Color 2.5403076884289786 14.46849610655252
X0 0.0018686437555270477 0.029192866368658955
X1 -0.8491056110135793 3.704344914617736
RestFrameMag_0_UX 19.335541318643806 0.0
RestFrameMag_0_B 17.08256380906934 16.96190183033538
RestFrameMag_0_V 14.645905932659867 0.0
RestFrameMag_0_R 13.294104931973942 0.0
CovDayMaxDayMax 7.5974166107948635 -1
CovDayMaxRestFrameMag_0_B 10.928511270627698 -1
CovDayMaxX1 9.62795881710041 -1
CovDayMaxColor 9.337264726345683 -1
CovRestFrameMag_0_BDayMax 10.928511270615552 -1
CovRestFrameMag_0_BRestFrameMag_0_B 287.7061137019346 -1
CovRestFrameMag_0_BX1 13.230037076143166 -1
CovRestFrameMag_0_BColor 245.4117643909413 -1
CovX1DayMax 9.62795881710041 -1
CovX1RestFrameMag_0_B 13.230037076156085 -1
CovX1X1 13.722171246454284 -1
CovX1Color 11.271227356661157 -1
CovColorDayMax 9.337264726335409 -1
CovColorRestFrameMag_0_B 245.41176439094139 -1
CovColorX1 11.27122735665014 -1
CovColorColor 209.33737958532544 -1

dmu_estimate 27.354400007282308
FirstPhase  -13.395903330185453
LastPhase  1.3604562564064304
LatestNegPhase  -3.554575135336313
EarliestPosPhase  1.3604562564064304
NightsNegPhase  5
NightsPosPhase  1

salt3source   1
salt2_version   salt3-f22
