Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 58355.22679055801 0.20810211857495528
Redshift 0.011207753598657909 0 F
Color 1.1746835458110554 0.020508852629419382
X0 0.0016765374542485184 4.344619256367768e-05
X1 -0.25871227716467543 0.09547217344063966
RestFrameMag_0_UX 18.39838084310573 0.0
RestFrameMag_0_B 17.50277084549549 0.028136027683569993
RestFrameMag_0_V 16.32099632266926 0.0
RestFrameMag_0_R 15.6924455041444 0.0
CovDayMaxDayMax 0.04330649175538474 -1
CovDayMaxRestFrameMag_0_B 0.001836811309426613 -1
CovDayMaxX1 -0.005374882032093428 -1
CovDayMaxColor 0.0003273306828819352 -1
CovRestFrameMag_0_BDayMax 0.0018368113094266135 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.000791636053810617 -1
CovRestFrameMag_0_BX1 0.0005717905749869316 -1
CovRestFrameMag_0_BColor 0.00047983200508346514 -1
CovX1DayMax -0.005374882032093426 -1
CovX1RestFrameMag_0_B 0.0005717905749869316 -1
CovX1X1 0.009114935901479581 -1
CovX1Color -4.86960554552293e-05 -1
CovColorDayMax 0.0003273306828819357 -1
CovColorRestFrameMag_0_B 0.0004798320050834651 -1
CovColorX1 -4.869605545522926e-05 -1
CovColorColor 0.00042061303617524235 -1

dmu_estimate 0.04667348652774187
FirstPhase  -14.878743269376058
LastPhase  43.28389422092292
LatestNegPhase  -0.4359544875989231
EarliestPosPhase  2.9242056654250344
NightsNegPhase  12
NightsPosPhase  33

salt3source   1
salt2_version   salt3-f22
