Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 58663.63903363305 0.1619633033684714
Redshift 0.012158411269972642 0 F
Color 0.19875692176417603 0.016985201722148555
X0 0.004245333651757809 8.30922896186737e-05
X1 -0.01951550263842467 0.11575967945034529
RestFrameMag_0_UX 16.419174290074242 0.0
RestFrameMag_0_B 16.571669662505194 0.02125069890275584
RestFrameMag_0_V 16.347097459379146 0.0
RestFrameMag_0_R 16.24847538332634 0.0
CovDayMaxDayMax 0.026232111638027498 -1
CovDayMaxRestFrameMag_0_B -0.00016560757078280697 -1
CovDayMaxX1 -0.009784597294343453 -1
CovDayMaxColor 7.78359304366441e-05 -1
CovRestFrameMag_0_BDayMax -0.00016560757078280604 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.00045159220385558834 -1
CovRestFrameMag_0_BX1 0.0010655493542949647 -1
CovRestFrameMag_0_BColor 0.000281752574473394 -1
CovX1DayMax -0.009784597294343441 -1
CovX1RestFrameMag_0_B 0.001065549354294967 -1
CovX1X1 0.013400303386446693 -1
CovX1Color 0.00018020210096859768 -1
CovColorDayMax 7.783593043664887e-05 -1
CovColorRestFrameMag_0_B 0.00028175257447339395 -1
CovColorX1 0.00018020210096859597 -1
CovColorColor 0.00028849707754207825 -1

dmu_estimate 0.042808596295131625
FirstPhase  -14.3042368387974
LastPhase  42.811644782567186
LatestNegPhase  -1.5634347501972856
EarliestPosPhase  4.042713394698684
NightsNegPhase  9
NightsPosPhase  27

salt3source   1
salt2_version   salt3-f22
