#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  SWOPE
@BAND  SWOPE_V-LC-3014
@MAGSYS  Linear_AB11_off
53266.02  17.356  0.01
53267.02  16.983  0.012
53268.02  16.671  0.01
53269.04  16.369  0.012
53270.05  16.16  0.009
53271.05  16.0  0.01
53272.05  15.852  0.011
53273.04  15.729  0.011
53274.01  15.627  0.011
53275.02  15.568  0.027
53276.08  15.494  0.015
53277.01  15.465  0.012
53278.01  15.443  0.012
53279.02  15.421  0.01
53280.01  15.418  0.009
53281.01  15.419  0.01
53285.05  15.586  0.056
53287.06  15.607  0.01
53288.06  15.688  0.01
53289.07  15.745  0.01
53290.07  15.82  0.009
53291.05  15.898  0.009
53292.05  15.978  0.01
53294.0  16.141  0.01
53295.0  16.199  0.011
53298.03  16.408  0.012
53300.01  16.547  0.013
53301.01  16.606  0.014
53302.01  16.684  0.013
53303.01  16.732  0.014
53304.02  16.802  0.089
53305.01  16.895  0.017
53307.05  16.994  0.024
53308.02  17.122  0.01
53309.01  17.186  0.011
53310.02  17.261  0.011
53311.02  17.3  0.011
53329.03  17.907  0.015
53341.04  18.15  0.029
