#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  SWOPE
@BAND  SWOPE_i
@MAGSYS  Linear_AB11_off
53981.34  15.034  0.01
53986.34  15.227  0.007
53994.35  15.502  0.008
53998.36  15.646  0.009
54001.4  15.741  0.016
54014.32  16.169  0.013
54017.33  16.274  0.012
54046.18  17.034  0.013
54048.32  17.098  0.015
54049.28  17.104  0.021
54052.25  17.172  0.026
54056.24  17.295  0.022
54060.27  17.372  0.032
54065.26  17.445  0.028
54066.33  17.501  0.025
54068.26  17.51  0.028
54071.17  17.591  0.032
54073.23  17.615  0.027
54076.22  17.666  0.027
54080.27  17.696  0.032
54084.18  17.794  0.022
54087.13  17.837  0.031
54092.18  17.938  0.031
54096.16  17.982  0.029
54099.13  18.083  0.029
54100.16  18.074  0.029
54104.22  18.066  0.034
54106.15  18.136  0.033
54108.15  18.17  0.04
54110.11  18.132  0.045
54118.17  18.301  0.053
54123.13  18.471  0.051
54130.07  18.492  0.042
54133.1  18.499  0.04
54136.13  18.512  0.05
54143.06  18.663  0.05
54147.07  18.742  0.064
