#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7318.0093407618       All      0.3097249017237391         -0.04667638427973131      0.17545824543492294        -0.10826172846217785       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4623.845923025172     All      -0.35741679094938855       0.44305063838177006       0.2064560160307316         0.2699517601066348         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5230.867709584607     All      0.10896761906309446        0.03519933391107344       0.052858759534268884       -0.021669913711995503      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4232.7161886956565    All      -0.4259603107751086        0.2768224459120283        -0.22309425557245355       0.2189637927275931         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4229.718438167874     All      -0.02858318992442261       0.009482223164170023      0.0011291817552550043      0.012449547553440576       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6027.603458256735     All      0.4499262291801873         -0.0612699096295799       0.2333839344028643         -0.1560985471650081        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              5985.352024301026     All      0.6391824446906756         0.033492835186077485      -0.27632728645579085       -0.209624250081121         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3459.07782434477      All      -0.17136211519343245       0.06551635040263903       -0.0050038586747014335     0.07693581008392097        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7343.567012918962     All      0.25808785397826817        -0.04615042785065526      0.24866092522302097        -0.08800382249946892       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5170.603414274195     All      0.218064489126909          0.2851289135918478        -0.4155017297371           0.00330315553451338        
Check         All|All|All                                All                   All      1.0006311309205216         0.9945960187896397        -0.0019800680589820985     -0.002054195913668566      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7318.0093407618       All      -3.0266132954468152e-05    2.5085738518947418e-06    -0.00022714907621405823    5.391802491976921e-07      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4623.845923025172     All      -0.0001371133600786271     3.1641573172466016e-05    -0.0002836638132010547     4.231042046988555e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5230.867709584607     All      5.525544431211776e-05      9.103819727978019e-06     -0.0001152468216522515     -2.0176038811237198e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4232.7161886956565    All      -0.0003374882229224444     0.00014907913981175689    -0.0005991047898751378     0.00013175570244993728     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4229.718438167874     All      -2.1080030025574463e-05    7.623143728087088e-06     -5.1883764238532805e-06    9.118034587489788e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6027.603458256735     All      1.3669957405916578e-05     7.212215649737604e-06     4.882234856772873e-06      -1.8856272250166416e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              5985.352024301026     All      0.00010551208931178646     6.3878694762598546e-06    -7.816930774717927e-05     -3.577635667651146e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3459.07782434477      All      -0.00038573992277506747    0.000126043006615502      -3.001281505974591e-05     0.0001653652031685291      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7343.567012918962     All      -6.535866323109212e-05     1.2852951527610222e-05    -8.165689100416993e-05     2.1832124003625755e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5170.603414274195     All      -5.154533098183368e-05     7.678392507020837e-05     -0.0009275824411853193     4.073164852290864e-07      
MWEBV         All|All|All                                All                   All      -0.929712413655464         -3.8744028356576976       0.0468453247219891         -0.9570920561939158        
Redshift      All|All|All                                All                   All      6.901440428720246          -1.1935644028207903       9.133659683082884          -2.2292161091070626        
