#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6363.229993322179     All      0.3033519143689757         -0.09025696913953496       -0.06941740685393327       -0.1313091427516285        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7868.054267598885     All      0.12637669458455839        -0.01216341165237722       0.048664595379666054       -0.042955393052091645      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6202.5279821845       All      0.5215198793151673         -0.08675729268707855       0.11153499692628799        -0.19315859199457475       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5363.425743529782     All      0.094165546191961          0.04314337018005432        -0.3049419553848409        -0.030227760227892475      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3559.462255046453     All      -0.107648148671107         0.07690513493940898        0.005309175672030264       0.060352000220711445       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4355.552050304088     All      -0.3503504436553009        0.12314012105267835        -0.2338756383147178        0.143794658716242          
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4352.46730332945      All      -0.18088483731329025       0.04543583369187587        0.13372566955016651        0.07968765072753711        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5382.6705032097925    All      0.23944611495396761        0.300821815456942          0.2025012470158849         0.029028785454120708       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4351.409910420827     All      -0.2854106009828113        0.1422570915275756         -0.4074021633408975        0.12112494988035308        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5320.657303340542     All      0.14818587842364914        0.3141839289709125         0.24073346800230766        0.06481385526500962        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7556.681557125889     All      0.15579303277919043        -0.07223154616511351       0.0031950086654575216      -0.07413252858538641       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4758.0325947931315    All      -0.2215825184255421        0.3636004788612368         0.3205521812915002         0.2049181257731969         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6159.050387280887     All      0.4415427197872988         -0.06541983335139889       0.06997298189146406        -0.16201180932233458       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7530.382186602908     All      0.09500005221123854        -0.033130685547266836      0.017736663533352015       -0.040944890832063895      
Check         All|All|All                                All                   All      0.9795052835679554         1.0495280361379145         0.13828882403372766        0.028979909271198652       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6363.229993322179     All      -2.7336421061479693e-05    1.4492821840020838e-05     6.571028367834385e-06      1.3918395370649461e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7868.054267598885     All      -2.3027144420905026e-05    1.0016417551873062e-05     4.943949583617256e-06      1.098400099861031e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6202.5279821845       All      -9.020311893605518e-05     1.4931715026608202e-05     3.8163870409278616e-05     3.5948952510988454e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5363.425743529782     All      5.993869628050086e-05      -5.7405556956070466e-05    -0.0004991154284393673     -6.0496113007415205e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3559.462255046453     All      -0.00018105421588310587    9.670780042835299e-05      7.302722534721949e-05      9.373509647688208e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4355.552050304088     All      -0.00030565818858006806    5.317006864395233e-05      -0.0004423710320457691     9.714118105333877e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4352.46730332945      All      -0.00010203059321776747    7.117270974483154e-06      5.378446866475199e-05      3.7953204038866986e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5382.6705032097925    All      9.68230810355278e-05       0.00012093856181027823     -0.0003721988653318727     -8.754320448116001e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4351.409910420827     All      -0.00027150650113586477    0.00012107181115522656     -0.00047074210728283633    0.00010686861354832011     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5320.657303340542     All      6.624940613821394e-05      9.269529035307549e-05      -0.00021887811895756912    -1.1532306457086086e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7556.681557125889     All      -3.1213767635608013e-05    -2.782437517993593e-07     -2.813545318664303e-05     8.821161823204743e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4758.0325947931315    All      -0.00010314596316505633    8.185167198216888e-05      -8.21325087936711e-05      5.659461936237533e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6159.050387280887     All      -3.2043911287272434e-05    4.288520691587669e-05      5.5991948927165286e-05     2.6905542412433478e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7530.382186602908     All      -9.329980029255284e-06     -7.640710747869186e-07     -1.2632405326700613e-05    2.2264721253128277e-06     
MWEBV         All|All|All                                All                   All      -0.9432605697176704        -4.015420390289215         0.02504243917771376        -0.9995859955714           
Redshift      All|All|All                                All                   All      7.06889415663938           -2.6169150929638896        5.0195944016071525         -2.9309852822746225        
