#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4364.600334932328     All      -0.3214145933833272        0.19126013481027826        -0.20478518541366952       0.15785640318955463       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5331.710511093297     All      0.2618114331239611         0.10894953328630663        -0.11179521724380415       -0.05478105687298229      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4361.509179661265     All      -0.40704169594562317       0.3445264728721753         0.27936886551096496        0.25727742781524454       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3566.8567316214458    All      -0.20722119946419834       0.09576512831994677        -0.056849032132610944      0.0961557037074845        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5393.852538049595     All      0.405068463596175          0.14190275643253258        0.08508191275289345        -0.08192491371872834      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6215.413200395475     All      0.6272430609678391         -0.0642379612224353        -0.004425004881847272      -0.22543558562185262      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7572.379912876011     All      0.214083962100951          -0.0331329024614746        0.08645322592981675        -0.07666865557330316      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6171.845284529307     All      0.5403264130857468         -0.0543387017063246        0.0005258150468367973      -0.19367852707838917      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7546.025907673595     All      0.14070365799387025        -0.019100474901190267      0.07026913601602125        -0.04891767467780639      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4767.9169981227       All      -0.24636946584956282       0.2815328994485            -0.14098997527054458       0.16566343279674212       
Check         All|All|All                                All                   All      1.0071900362258317         0.9931268848783148         0.0028545403140567416      -0.00445344603403619      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4364.600334932328     All      -0.0002512862282432816     0.00011587383690412953     -0.0003559040630421096     0.00010371374870053489    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5331.710511093297     All      0.00011604328500997078     2.897475912277468e-05      -0.0004285123104783413     -4.748361968167064e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4361.509179661265     All      -0.00024904195663780877    0.00014053875310419183     -0.00022407105208104654    0.00011689999205436392    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3566.8567316214458    All      -0.0004960671896048919     0.00019793694783809893     -0.00022237914849270493    0.00021613621957638119    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5393.852538049595     All      0.0001526282140498925      -6.827795543912688e-06     -0.0005983087015967544     -7.86398376913878e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6215.413200395475     All      -7.262162956189472e-05     -2.1806752529476997e-05    -0.0002725400372737636     4.389867076844333e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7572.379912876011     All      -3.931719583841129e-05     2.390825852079217e-06      -5.254959995599917e-05     1.1240627523295965e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6171.845284529307     All      -2.6775492452379358e-05    -1.7970781953476527e-05    -0.0002413374470276376     -7.901797962177044e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7546.025907673595     All      -2.780136505206002e-05     1.4866652962617376e-06     -3.20134968010877e-05      8.111459702466691e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4767.9169981227       All      -0.0001829342476753673     7.471628381115849e-05      -0.0007509217380063149     5.041506624744646e-05     
MWEBV         All|All|All                                All                   All      -0.9725475486361956        -4.027524741917965         0.004564504548909554       -0.9949028847422048       
Redshift      All|All|All                                All                   All      4.809984141566878          -1.3515073613556083        2.658775697167015          -1.888351541501826        
