#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  SWOPE
@BAND  SWOPE_i
@MAGSYS  Linear_AB11_off
54181.2  16.318  0.006
54182.22  16.337  0.008
54185.12  16.383  0.006
54190.2  16.837  0.007
54194.07  17.099  0.009
54197.09  17.103  0.009
54203.25  16.865  0.007
54207.08  16.798  0.007
54213.03  17.238  0.008
54218.11  17.576  0.011
54224.03  17.869  0.011
54227.1  18.023  0.016
54229.05  18.112  0.012
54231.08  18.2  0.015
54236.0  18.402  0.019
54239.02  18.523  0.025
54243.06  18.678  0.026
54245.03  18.774  0.027
54258.99  19.232  0.043
