#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4685.834708314142     All      -0.26011005955654          0.28192097973782637        -0.05430282480261006       0.17413405612260874        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6065.59360407896      All      0.5021482362340465         -0.020155568089208487      -0.11805951894259259       -0.1753999864555017        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I             8020.291787043185     All      0.040251955606544466       -0.005322697166398882      0.013812976729354887       -0.014228754058964732      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3505.4513489216565    All      -0.13723632942263223       0.05430500393162063        -0.05945262313404864       0.059738216281722545       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B             4310.691766712071     All      -0.014691508548289541      0.003568842127243954       -0.03706213456009522       0.004294084117524577       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4285.382073814598     All      -0.06888417762027745       0.060158550150735124       0.06458384476473178        0.044915542183641965       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5282.041685044431     All      0.06645060219939775        0.0363884117376756         0.09733160428675447        -0.005448781978643902      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4289.461361302649     All      -0.34388933495230756       0.19322652772446602        -0.25778595543501925       0.16345250383784232        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7416.116958818062     All      0.18403893377389763        -0.022749138473265873      0.04011095039242463        -0.0655677107633229        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6108.411474527414     All      0.4668667386153455         -0.0020102713056857624     0.11383592145906007        -0.14764869338147885       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5300.994426763863     All      0.24255023668032694        0.1300160900507663         0.17834532329343844        -0.02869734115256012       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4286.423421954368     All      -0.22276163531947554       0.18493868791775725        0.15536227015329196        0.139734512784441          
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7442.017265457041     All      0.17153284953253597        -0.019009516302936902      0.060627897646137185       -0.05936037259216681       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6266.675010239397     All      0.11389395886372858        0.00105047195368968        0.06260685195931259        -0.03396297986697494       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R             6210.267183668109     All      0.040858669248134305       -0.004889501597382662      -0.03220014833438256       -0.016338629044732045      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5239.9222086712525    All      0.18779528552753422        0.1286652896611784         -0.14161536281616094       -0.025580228199403865      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7748.665239149547     All      0.025613931315258902       -0.002654252695766246      0.014980985084522835       -0.008539344968874762      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V             5249.446435854717     All      -0.001448670831499405      0.000485049413434524       -0.09667215271453866       -0.003684157875230576      
Check         All|All|All                                All                   All      0.992979681345729          0.9979329587757491         0.004447905029580923       0.001811934989925934       
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4685.834708314142     All      -9.489863041041265e-05     -4.138228955977154e-05     -0.0004969559331098795     -4.744828008277651e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6065.59360407896      All      -6.770661341953457e-05     -6.428299428265545e-06     -0.00014285367032439324    1.3585459660204286e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I             8020.291787043185     All      -1.1273789455742469e-07    -5.435259317629939e-08     -4.519111291025088e-07     -1.1487046599082767e-09    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3505.4513489216565    All      -0.0001678943810168798     6.01839737110593e-05       -8.125794350201466e-05     7.066645487562316e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B             4310.691766712071     All      -1.531571272652008e-05     3.6944007144263184e-06     -4.002473957299228e-05     4.406099061708944e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4285.382073814598     All      -4.19231693913987e-06      1.0204036265835877e-05     2.1016610383093783e-05     5.627240660410292e-06      
