#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K4_B
@MAGSYS  Linear_AB11_off
54388.29  15.189  0.043
54391.21  14.474  0.049
54398.23  13.935  0.01
54402.19  14.041  0.069
54404.25  14.155  0.042
54406.21  14.23  0.025
54408.22  14.423  0.063
54410.21  14.521  0.046
54412.22  14.815  0.01
54414.17  14.899  0.011
54416.19  15.138  0.09
54418.19  15.44  0.011
54426.24  16.099  0.057
54432.15  16.485  0.017
54435.15  16.599  0.039
54443.17  16.852  0.082
54447.13  16.878  0.057
54459.09  17.112  0.079
