#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  CfA34_FLWO
@BAND  CfA3_KC_V_1
@MAGSYS  Linear_AB11_off
54453.53966  12.839  0.01345362404707371
54454.52039  12.861  0.01345362404707371
54456.46474  12.937  0.01414213562373095
54457.52111  12.98  0.014866068747318505
54461.47978  13.239  0.015620499351813309
54463.51361  13.38  0.014866068747318505
54464.51847  13.435  0.01414213562373095
54465.53152  13.488  0.015620499351813309
54466.55151  13.534  0.01414213562373095
54470.49502  13.72  0.014866068747318505
54475.487  13.96  0.01345362404707371
54477.48574  14.082  0.014866068747318505
54478.50194  14.153  0.014866068747318505
54480.50147  14.278  0.014866068747318505
54483.45372  14.493  0.01414213562373095
54485.47583  14.607  0.01972308292331602
54494.50595  14.929  0.014866068747318505
54495.42775  14.966  0.01414213562373095
54496.46382  15.0  0.01414213562373095
54497.43869  15.028  0.020591260281974
54498.45201  15.047  0.014866068747318505
54503.41066  15.177  0.01414213562373095
54504.44779  15.188  0.014866068747318505
54506.48786  15.249  0.018027756377319945
54516.41634  15.527  0.018027756377319945
54562.22946  16.611  0.020746233971494686
54565.29674  16.663  0.019816203874607266
54569.2591  16.738  0.023246779045708675
54579.22809  16.964  0.029559611364156992
54584.22817  17.076  0.02785418144552089
54586.22394  17.092  0.024953363220215408
54596.18498  17.298  0.030291987323383035
