#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K4_I
@MAGSYS  Linear_AB11_off
54453.53  13.239  0.01
54456.55  13.434  0.018
54459.55  13.713  0.013
54461.57  13.725  0.011
54465.6  13.696  0.9
54467.56  13.644  0.013
54476.6  13.486  0.015
54478.56  13.449  0.011
54480.55  13.584  0.01
54482.53  13.729  0.022
54483.47  13.793  0.014
54484.47  13.875  0.01
54501.57  14.761  0.032
54505.49  14.913  0.012
54510.5  15.172  0.025
54522.52  15.738  0.025
54530.35  15.996  0.045
54534.39  16.128  0.041
54542.39  16.444  0.039
54550.34  16.753  0.027
54557.34  16.985  0.067
54564.34  17.317  0.088
54572.34  17.279  0.073
54580.36  17.548  0.162
54587.29  17.584  0.185
54594.24  17.722  0.116
54622.19  18.405  0.192
54632.2  18.748  0.393
