#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  SWOPE
@BAND  SWOPE_u
@MAGSYS  Linear_AB11_off
54753.13  17.643  0.022
54755.21  17.835  0.019
54756.15  17.918  0.019
54759.19  18.255  0.02
54760.18  18.349  0.019
54765.24  18.985  0.026
54766.25  19.071  0.024
54768.14  19.315  0.028
54770.13  19.471  0.037
54772.21  19.669  0.037
54776.18  19.949  0.069
54777.16  20.177  0.057
54779.16  20.293  0.076
54781.15  20.348  0.135
54786.16  20.737  0.139
54790.16  20.915  0.069
54797.17  20.98  0.062
54803.19  21.072  0.068
