#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  SWOPE
@BAND  SWOPE_B
@MAGSYS  Linear_AB11_off
54888.09  15.445  0.005
54896.14  15.734  0.005
54897.08  15.815  0.005
54898.06  15.906  0.008
54900.09  16.113  0.006
54902.08  16.329  0.007
54908.07  17.004  0.01
54911.1  17.324  0.007
54914.0  17.566  0.008
54914.99  17.658  0.008
54917.01  17.776  0.011
54920.0  17.978  0.01
54927.0  18.319  0.015
54927.99  18.34  0.019
54929.98  18.413  0.021
54930.98  18.417  0.022
54932.99  18.483  0.015
54937.0  18.581  0.016
54894.08  15.605  0.006
