#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  CalanTololo
@BAND  Bessell12_B
@MAGSYS  Linear_AB11_off
48835.37999999989  19.387  0.036
48837.25999999978  19.52  0.034
48840.25  19.736  0.067
48842.35000000009  19.944  0.05
48844.439999999944  20.179  0.097
48845.35000000009  20.345  0.094
48845.37999999989  20.392  0.085
48846.25  20.435  0.121
48846.27000000002  20.477  0.103
48847.39999999991  20.706  0.26
48847.41000000015  20.777  0.235
48848.20999999996  20.45  0.119
48848.20999999996  20.625  0.18
48870.25  22.489  0.206
48870.29000000004  22.704  0.158
48871.35000000009  22.57  0.248
48891.189999999944  23.091  0.243
