#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4202.437862388187    All      -1.1700178628899833       0.6781875921403113        -0.3023781699980077       0.5885275719024651        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    7976.697134516339    All      0.4900132543911428        -0.07663602137313319      0.29582580767345545       -0.17137496420619303      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5187.079807028378    All      0.3962740814756645        0.48152807754640037       0.0707096391902029        0.030925477732831816      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6093.312880927814    All      1.2744656007085557        -0.08348261026736026      -0.07319504640149743      -0.44559476623222194      
Check         All|All|All                                   All                  All      0.9907350736853796        0.9995970380462182        -0.009037769535846785     0.002483319196881939      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4202.437862388187    All      -0.0006687610827791209    0.00023969893979236347    -0.0008102213903460923    0.0002597588573596319     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    7976.697134516339    All      -5.52142048214207e-05     7.141323002919499e-06     -2.729625362837009e-05    1.9093140416043483e-05    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5187.079807028378    All      3.866442610816684e-05     5.023005862117743e-05     -0.0013331854418353664    -5.572663616235656e-05    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6093.312880927814    All      -0.0003395703647002288    -2.91144190268987e-05     -0.0005580780363798178    7.622125559911891e-05     
MWEBV         All|All|All                                   All                  All      -0.7930800576779848       -3.884251841650954        0.03201323412882484       -1.0054677429632966       
Redshift      All|All|All                                   All                  All      7.439624328047978         0.674804605736945         10.95580727196439         -1.7146169791700039       
