#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5400.413201687402     All      0.1936803442123674         0.12201926575126087        -1.8160516794533752       -0.10438441646456645       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3662.372727113255     All      -0.38951059776093205       0.3710120740094691         0.5656087084501892        0.27296777355963425        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4375.6396831133825    All      -0.3354658261087115        0.33136628588645856        -0.2667595849064491       0.2053049019097676         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6381.232082032454     All      1.1979736299549444         0.12170992650424317        0.8563481729995304        -0.3123596103419432        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8255.516002153501     All      0.3317405573656854         0.05210501263244183        0.6697732038638161        -0.06119759472439765       
Check         All|All|All                                All                   All      0.9984181076633537         0.9982125647838735         0.008918820953711548      0.00033105393849455766     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5400.413201687402     All      0.00010759564389415906     4.71459894887749e-05       -0.0007461518404861225    -5.2987770863838094e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3662.372727113255     All      -0.0006570003811171932     0.00028731811080427125     -0.0008699134435632234    0.0002687753583561247      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4375.6396831133825    All      -0.0003386199344455668     -1.1972105806080067e-05    -0.0016700446687253256    3.187352085476127e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6381.232082032454     All      -0.00015603614745607867    -2.369077634208165e-05     -0.0002166432467063997    3.344144831114667e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8255.516002153501     All      -4.809719100504931e-05     -4.384916588492566e-06     -7.89231280876625e-05     1.0716549142849183e-05     
MWEBV         All|All|All                                All                   All      -1.0264878155108326        -3.8859029325697847        0.5575861907109643        -0.9065230647985506        
Redshift      All|All|All                                All                   All      5.8743909159590775         -0.4549663840376361        4.521313194585115         -1.8599144600451312        
