#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  CfA2_FLWO
@BAND  CfA2_4Sh3_Harris_R
@MAGSYS  Linear_AB11_off
51426.49000000022  15.199  0.007
51427.470000000205  15.023  0.008
51428.37999999989  14.938  0.011
51429.49000000022  14.84  0.01
51431.43000000017  14.691  0.011
51432.470000000205  14.589  0.015
51433.5  14.643  0.007
51434.450000000186  14.585  0.017
51435.39999999991  14.607  0.014
51436.37000000011  14.559  0.01
51437.35999999987  14.566  0.012
51438.39000000013  14.563  0.005
51439.41000000015  14.555  0.013
51441.419999999925  14.604  0.009
51453.439999999944  15.192  0.008
51458.39000000013  15.286  0.01
51461.39000000013  15.32  0.005
51463.39999999991  15.355  0.006
51466.37000000011  15.477  0.011
51468.35000000009  15.573  0.01
51487.330000000075  16.489  0.007
51512.279999999795  17.273  0.016
51521.279999999795  17.505  0.017
51527.220000000205  17.718  0.02
51546.25999999978  18.304  0.026
51547.24000000022  18.096  0.035
51589.14999999991  19.272  0.076
51590.14999999991  19.546  0.123
