#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  CfA2_FLWO
@BAND  CfA2_4Sh3_Harris_I
@MAGSYS  Linear_AB11_off
51807.37999999989  15.871  0.015
51809.37999999989  15.714  0.008
51810.299999999814  15.698  0.012
51811.33999999985  15.749  0.012
51813.20999999996  15.813  0.013
51818.20999999996  16.142  0.012
51821.470000000205  16.294  0.017
51825.310000000056  16.205  0.017
51844.10000000009  17.002  0.053
51873.22999999998  18.458  0.084
51875.14000000013  18.596  0.081
51906.16000000015  19.383  0.16
51933.10999999987  20.066  0.465
