#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5448.795137846303    All      0.4456110194084319        0.6411323821242765         0.15386004587221017       0.07055380749196656        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6278.724341668162    All      1.2791679329182741        -0.18944425246294472       0.2753860503763967        -0.4660860900585187        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7649.513322832417    All      0.42668526745622004       -0.2600308181691324        -0.20136415884550424      -0.232671978953481         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4405.93617348013     All      -1.1544131898541699       0.8072678143900336         -0.22685651887219496      0.6288604759474634         
Check         All|All|All                                All                  All      0.9970510299287564        0.9989251258822329         0.001025418530907679      0.0006562144274302462      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5448.795137846303    All      9.792765143439399e-05     0.0005427148594777298      -0.0014416238681948853    8.05487746256145e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6278.724341668162    All      -4.442246195729646e-05    5.450601194917167e-05      0.0001882816156373454     4.062640236116758e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7649.513322832417    All      -6.353569357418954e-06    -1.3978076506884021e-05    -4.605122288847207e-05    -4.5386073893113164e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4405.93617348013     All      -0.0013303014714328635    0.0010109589488161608      -0.0004992646198783351    0.0007403456571093461      
MWEBV         All|All|All                                All                  All      -0.885524229685998        -4.165584720123006         -0.045454012371088585     -1.0704520163295919        
Redshift      All|All|All                                All                  All      7.235337859316065         -3.373140754918502         2.3245450584568466        -3.3517967235263777        
