#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5264.556681818156     All      0.03260705036823419        0.6442644083847426         0.4588723516573139        0.21971428996532916       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7390.862650837719     All      0.7192268990811959         -0.3782594988457788        0.361395556507687         -0.34136000217766177      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4256.9595910569205    All      -0.914992046881921         0.5702372804231359         -0.19184137558363926      0.47522705500003204       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6066.423741394077     All      1.158806280472674          0.1623925772209489         -0.63132947137802         -0.3527380589024475       
Check         All|All|All                                All                   All      0.9956481830401832         0.9986347671830487         -0.002902938796658372     0.0008432838852518998     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5264.556681818156     All      -0.00012421919214220954    0.00037405718500260646     -0.0008768120464159277    0.00012317691426248661    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7390.862650837719     All      -0.00024486944365266044    0.00010965660844952687     -0.000792068050912672     8.013443945509813e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4256.9595910569205    All      -0.0006086209713078805     0.0002967556857291317      -0.0003697602291914896    0.00027841026242272904    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6066.423741394077     All      -0.0002701630112949136     -2.5189535428275246e-05    -0.0007396089552204097    4.679056970731017e-05     
MWEBV         All|All|All                                All                   All      -0.8020008411117803        -3.9851508297497062        0.03493905400493121       -1.0352975043124595       
Redshift      All|All|All                                All                   All      10.335729598992282         -2.5989608647774           13.137775710542696        -3.626975632386102        
