#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  CfA34_FLWO
@BAND  CfA3_KC_V_1
@MAGSYS  Linear_AB11_off
53836.35264  17.323  0.04128843174546595
53838.26313  17.392  0.046903252936230336
53838.39354  17.327  0.03130995043113294
53840.31552  17.642  0.056686708001082574
53841.28324  17.439  0.033521897380667465
53842.47291  17.557  0.036196523645234194
53843.29398  17.624  0.03999922719253459
53844.47373  17.666  0.0390937828305218
53845.29775  17.697  0.039218195827957186
53846.25461  17.755  0.040499838271282
53848.29851  17.92  0.045724899125093796
53849.30912  17.924  0.04634514619677016
53858.37057  18.421  0.06564675419241989
53859.35708  18.436  0.06510327500210722
53863.22403  18.726  0.09275366567419314
53865.45081  18.815  0.08515700558380387
53866.36453  18.762  0.08717189124941596
53867.29946  19.009  0.12100383215419255
53879.41483  18.961  0.09407845245325835
53880.37457  19.26  0.10843376595876403
53891.30824  19.453  0.1270168266175785
53894.42074  19.568  0.14394340309996848
