Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 54354.44282688391 0.8810783698273791
Redshift 0.035187676402453065 0 F
Color 0.7679130321989873 0.08101544180202926
X0 0.00022931731906864738 2.9322912941636512e-05
X1 -1.91161292581251 0.3993603194548118
RestFrameMag_0_UX 20.260706430830453 0.0
RestFrameMag_0_B 19.7083600058148 0.13883359677763765
RestFrameMag_0_V 18.938096485264722 0.0
RestFrameMag_0_R 18.489507685310944 0.0
CovDayMaxDayMax 0.7762990937776717 -1
CovDayMaxRestFrameMag_0_B 0.058874698412289914 -1
CovDayMaxX1 -0.15309711539068271 -1
CovDayMaxColor 0.0150139311503026 -1
CovRestFrameMag_0_BDayMax 0.058874698412290025 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.01927476759421568 -1
CovRestFrameMag_0_BX1 0.002924238455217518 -1
CovRestFrameMag_0_BColor 0.010274501236302157 -1
CovX1DayMax -0.15309711539068258 -1
CovX1RestFrameMag_0_B 0.002924238455217567 -1
CovX1X1 0.15948866475504936 -1
CovX1Color 0.0022416661166081886 -1
CovColorDayMax 0.015013931150302666 -1
CovColorRestFrameMag_0_B 0.010274501236302159 -1
CovColorX1 0.0022416661166081656 -1
CovColorColor 0.00656350181037799 -1

dmu_estimate 0.14127532550838665
FirstPhase  6.778368093095229
LastPhase  42.49626818295263
LatestNegPhase  1000
EarliestPosPhase  6.778368093095229
NightsNegPhase  0
NightsPosPhase  13

salt3source   1
salt2_version   salt3-f22
