#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_g          3699.521817393281     All      -0.6781958904187926        0.5679099858541647        0.459704410033187          0.42641217604153225        
Zeropoint     AB|DECam|DECam_i          5973.467148002242     All      1.2219336109249852         0.2619469693453169        0.498722119722436          -0.29044355412954226       
Zeropoint     AB|DECam|DECam_z          7000.024953264304     All      0.45843989976076965        0.08045811639334488       0.5566514842973881         -0.09828030293768164       
Zeropoint     AB|DECam|DECam_r          4916.9393296460585    All      -0.0041356897411564675     0.08886142666604258       -1.5046353681262705        -0.036852745611107504      
Check         All|All|All               All                   All      0.9980419305258059         0.9991764982588691        0.010442645926740601       0.0008355733632008505      
Lambda        AB|DECam|DECam_g          3699.521817393281     All      -0.0012092195527595932     0.000758082675089332      -0.0008842828310238383     0.0006013535765467946      
Lambda        AB|DECam|DECam_i          5973.467148002242     All      -0.00011675681500146516    -4.467103348707759e-05    -0.00018035494406435967    1.5432297777710195e-05     
Lambda        AB|DECam|DECam_z          7000.024953264304     All      -0.0003405423935958124     -8.75315172162311e-05     -0.0006764691806999981     5.222625362334903e-05      
Lambda        AB|DECam|DECam_r          4916.9393296460585    All      -7.059888049782694e-05     2.4015222129998822e-05    -0.0007000455829937801     -4.2089323854140927e-07    
MWEBV         All|All|All               All                   All      -0.47239763011146696       -2.8133458359032915       0.19971591959785998        -0.753611441305185         
Redshift      All|All|All               All                   All      6.251074297693887          0.23269203784366255       6.700874285903399          -1.661355857550964         
