#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_g          4013.0561387716352    All      -0.6265125251189577        0.6806270229564149        0.13835636856925904        0.431952563703375         
Zeropoint     AB|DECam|DECam_z          7593.276779225885     All      0.6778473136844578         -0.07245360773033838      0.19615709396133552        -0.2356441040853724       
Zeropoint     AB|DECam|DECam_i          6479.718242324598     All      0.9305667326391507         0.08075334250001731       0.3222139523526846         -0.26243325038007026      
Zeropoint     AB|DECam|DECam_r          5333.649734956052     All      0.013690835859266781       0.31005962268704224       -0.6577333699212207        0.06718544467380072       
Check         All|All|All               All                   All      0.9955923570639176         0.998986380413136         -0.0010059550379415416     0.001060653911733045      
Lambda        AB|DECam|DECam_g          4013.0561387716352    All      -0.0005561337027118183     0.0006016437299312344     9.33753445869716e-05       0.00038129311232946837    
Lambda        AB|DECam|DECam_z          7593.276779225885     All      -0.0001795908718598806     6.096583707702644e-06     -0.00031469102884873246    4.6441297920295406e-05    
Lambda        AB|DECam|DECam_i          6479.718242324598     All      -0.0003719750565827445     -3.59233569460754e-05     -0.0006234646153605969     8.16407320300545e-05      
Lambda        AB|DECam|DECam_r          5333.649734956052     All      -0.00015146465187108692    0.00011576127274854171    -0.0014848504032112856     2.0782221296313517e-05    
MWEBV         All|All|All               All                   All      -0.4739654834083349        -3.232197390614644        0.003679041333370936       -0.8982826965940188       
Redshift      All|All|All               All                   All      7.230231037452756          -1.4517927090899718       0.8301870819129142         -2.790973327791746        
