#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_z          7136.290368439527     All      0.5298303176519814         -0.0328714619994841        0.27748536093764703        -0.1709075847566801       
Zeropoint     AB|DECam|DECam_r          5012.654528323053     All      0.1247100403165402         0.5812048761130839         0.32715836354606703        0.16329496143399183       
Zeropoint     AB|DECam|DECam_g          3771.5382573006573    All      -0.7134611242407276        0.41738634651711237        -0.22699674098815895       0.358224403010574         
Zeropoint     AB|DECam|DECam_i          6089.7491593368595    All      1.0535316818790121         0.03340261266107092        -0.37701080903353046       -0.349113859952943        
Check         All|All|All               All                   All      0.9946109156068063         0.9991223732917831         0.0006361744620246856      0.001497919734942732      
Lambda        AB|DECam|DECam_z          7136.290368439527     All      -0.00025509713338164544    2.348635752312796e-06      -0.00036807248749044417    6.743317210024996e-05     
Lambda        AB|DECam|DECam_r          5012.654528323053     All      -0.00020357950964176202    -0.00010793437327390572    -0.0017820590151143663     -4.837034159700714e-05    
Lambda        AB|DECam|DECam_g          3771.5382573006573    All      -0.0011634718720289496     0.0005810208582490307      -0.0009800732539660055     0.0005245025063467875     
Lambda        AB|DECam|DECam_i          6089.7491593368595    All      -0.0001858450139215291     -3.2271612716488064e-05    -0.00041025822141847073    3.171596901326076e-05     
MWEBV         All|All|All               All                   All      -0.467664300715362         -2.9300767246445147        0.06319646883085486        -0.799268569283168        
Redshift      All|All|All               All                   All      6.103558118085033          -0.2619465347811101        4.272552610983471          -1.882789884417397        
