#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_z          6897.700750424233    All      0.812938951025056         0.10261800237429952       1.3653360049575063        -0.17044622670083975      
Zeropoint     AB|DECam|DECam_g          3645.443350047577    All      -0.6032108564808403       0.39394082581321044       0.16368023081168662       0.33210940518412113       
Zeropoint     AB|DECam|DECam_i          5886.148850111655    All      0.7761808359519105        0.0456230696583404        -1.112526425694674        -0.28761364384812393      
Zeropoint     AB|DECam|DECam_r          4845.065029100258    All      0.009199317786484695      0.4575236051211462        -0.40356638383465415      0.12802465561866902       
Check         All|All|All               All                  All      0.9951082482826108        0.9997055029669966        0.012923426239864755      0.0020741902538264634     
Lambda        AB|DECam|DECam_z          6897.700750424233    All      -0.0004383977812023433    -6.551639221885684e-05    -0.0007527910521528358    8.786612861190487e-05     
Lambda        AB|DECam|DECam_g          3645.443350047577    All      -0.0011055460475748965    0.00048814567308003734    -0.001892738546462407     0.0004346535960226658     
Lambda        AB|DECam|DECam_i          5886.148850111655    All      -6.316786624823907e-05    3.6572210512997655e-07    0.0003936703685166687     3.8262680403958524e-05    
Lambda        AB|DECam|DECam_r          4845.065029100258    All      -5.644862548998488e-05    -3.126028739114545e-05    -0.0009282281936334496    -3.321789069346683e-05    
MWEBV         All|All|All               All                  All      -0.4533112387835838       -2.7522600376876483       0.279358783812308         -0.7363767574989506       
Redshift      All|All|All               All                  All      5.412818167449939         -0.24778693665368223      0.8517815535264959        -1.8058342121402253       
