#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     VEGAHST|ACSWF|F775W                    5033.046867395378    All      -0.05848705756490466       0.010219243361930808       -1.6442933691969919       -0.05099735851894216      
Zeropoint     VEGAHST|NICMOS2|F110W_faint            7555.304405546199    All      0.5401598715524518         -0.021641862117860455      0.3168069455607603        -0.1688596684457616       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5192.911275763027    All      0.29384618140857865        0.312883746934034          1.0821797759441143        0.054493874537393794      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4336.456775010117    All      -0.4878857862530419        0.8269231198408278         1.3098179142795596        0.4867276743811627        
Zeropoint     VEGAHST|ACSWF|F625W                    4135.710290709354    All      -0.49273441727559725       -0.03961538119217067       -0.7972081665677588       0.11202003819662659       
Zeropoint     VEGAHST|ACSWF|F850LP                   5911.65151363183     All      1.1783424864274692         -0.08935354376902183       -0.28153594833211226      -0.425493959321821        
Check         All|All|All                            All                  All      0.9732412782949558         0.9994153230577396         -0.01423284831242877      0.007890600828658334      
Lambda        VEGAHST|ACSWF|F775W                    5033.046867395378    All      -0.0003124326741622282     3.0136587762481092e-05     -0.002382053407793664     5.285975588591944e-06     
Lambda        VEGAHST|NICMOS2|F110W_faint            7555.304405546199    All      0.0001257189846833215      -1.792231969832047e-05     3.8168059653163774e-05    -4.508543329288552e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5192.911275763027    All      0.00013401874836507148     8.530172995469028e-05      0.00043623451740461126    3.5984073205376334e-06    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4336.456775010117    All      -4.2516271079954935e-06    5.402632694804012e-05      0.00027066854321999677    3.106174087204403e-05     
Lambda        VEGAHST|ACSWF|F625W                    4135.710290709354    All      -0.0004744468165701688     -5.6625868393930225e-05    -0.0007710770450150916    0.0001016884016316518     
Lambda        VEGAHST|ACSWF|F850LP                   5911.65151363183     All      -0.0002344812906220688     2.5166948330119005e-05     1.3640534997523625e-05    8.518468802828943e-05     
MWEBV         All|All|All                            All                  All      -0.16115710751451617       -2.30971341606363          0.004181991124119211      -0.6996688520407524       
Redshift      All|All|All                            All                  All      6.322249983513286          0.1368873932316106         7.1841470991862           -1.6941805985971226       
