Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 54025.82933565654 0.473690599050523
Redshift 0.327 0 F
Color -0.041820582107522535 0.0413329365809866
X0 3.0017730785932315e-05 1.1515056495231084e-06
X1 0.5968828274869922 0.3111171182897919
RestFrameMag_0_UX 21.492023692214154 0.0
RestFrameMag_0_B 21.949774671098744 0.04164976302128342
RestFrameMag_0_V 21.96367781339862 0.0
RestFrameMag_0_R 22.006725840744963 0.0
CovDayMaxDayMax 0.22438278362884334 -1
CovDayMaxRestFrameMag_0_B 0.004164906506702312 -1
CovDayMaxX1 -0.01858884008274673 -1
CovDayMaxColor 3.13811728657748e-05 -1
CovRestFrameMag_0_BDayMax 0.004164906506702323 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.001734702759729068 -1
CovRestFrameMag_0_BX1 0.0033217307430158907 -1
CovRestFrameMag_0_BColor 0.001492534357334924 -1
CovX1DayMax -0.01858884008274672 -1
CovX1RestFrameMag_0_B 0.00332173074301589 -1
CovX1X1 0.09679386129294437 -1
CovX1Color 0.0007147099436116694 -1
CovColorDayMax 3.138117286576682e-05 -1
CovColorRestFrameMag_0_B 0.0014925343573349242 -1
CovColorX1 0.0007147099436116709 -1
CovColorColor 0.0017084116464078601 -1

dmu_estimate 0.103912603796404
FirstPhase  -14.647803810505506
LastPhase  42.456642308561
LatestNegPhase  -0.3794541496173521
EarliestPosPhase  2.6503122407358655
NightsNegPhase  4
NightsPosPhase  11

salt3source   1
salt2_version   salt3-f22
