Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 54077.66631056393 0.42344597255475086
Redshift 0.514 0 F
Color -0.10844520171808983 0.05491914213854323
X0 1.159101587746545e-05 5.395680841376243e-07
X1 0.35169302995118146 0.448327131393105
RestFrameMag_0_UX 22.45437648047414 0.0
RestFrameMag_0_B 22.982324028343214 0.05054160999115977
RestFrameMag_0_V 23.066493579618008 0.0
RestFrameMag_0_R 23.14182907819063 0.0
CovDayMaxDayMax 0.17930649167283882 -1
CovDayMaxRestFrameMag_0_B 0.010770946292772797 -1
CovDayMaxX1 0.07463580553681336 -1
CovDayMaxColor 0.003397911060221773 -1
CovRestFrameMag_0_BDayMax 0.010770946292772794 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0025544543404985008 -1
CovRestFrameMag_0_BX1 0.01849454201840525 -1
CovRestFrameMag_0_BColor 0.0016647984737892603 -1
CovX1DayMax 0.07463580553681341 -1
CovX1RestFrameMag_0_B 0.018494542018405245 -1
CovX1X1 0.20099721674317042 -1
CovX1Color 0.008941076249913953 -1
CovColorDayMax 0.0033979110602217638 -1
CovColorRestFrameMag_0_B 0.0016647984737892599 -1
CovColorX1 0.00894107624991395 -1
CovColorColor 0.0030161121732335144 -1

dmu_estimate 0.14858705894906857
FirstPhase  -14.823785048829594
LastPhase  24.050917725278374
LatestNegPhase  -5.563150966929863
EarliestPosPhase  2.943652203479987
NightsNegPhase  5
NightsPosPhase  11

salt3source   1
salt2_version   salt3-f22
