Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 54406.67001298467 0.600753635150865
Redshift 0.552 0 F
Color -0.18453471638321464 0.07278905264321038
X0 1.1210511212466897e-05 4.931220477776023e-07
X1 0.35595535604600026 0.46357043712776824
RestFrameMag_0_UX 22.396381128393976 0.0
RestFrameMag_0_B 23.017204412964333 0.047758790878439775
RestFrameMag_0_V 23.179377266850835 0.0
RestFrameMag_0_R 23.29637157430895 0.0
CovDayMaxDayMax 0.36090493014697855 -1
CovDayMaxRestFrameMag_0_B 0.019138139813427667 -1
CovDayMaxX1 0.160749363848644 -1
CovDayMaxColor 0.007239808330431166 -1
CovRestFrameMag_0_BDayMax 0.01913813981342768 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.002280902106170542 -1
CovRestFrameMag_0_BX1 0.0176689413567769 -1
CovRestFrameMag_0_BColor 0.0009335199523225538 -1
CovX1DayMax 0.16074936384864413 -1
CovX1RestFrameMag_0_B 0.0176689413567769 -1
CovX1X1 0.21489755017883014 -1
CovX1Color 0.007824563598036438 -1
CovColorDayMax 0.007239808330431156 -1
CovColorRestFrameMag_0_B 0.0009335199523225524 -1
CovColorX1 0.00782456359803642 -1
CovColorColor 0.005298246184696053 -1

dmu_estimate 0.22085598409080734
FirstPhase  -13.742340840639672
LastPhase  28.68278802534124
LatestNegPhase  -8.613925892184609
EarliestPosPhase  1.6993473036892124
NightsNegPhase  4
NightsPosPhase  13

salt3source   1
salt2_version   salt3-f22
