Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 57131.698339084825 0.5252581299290042
Redshift 0.02992 0 F
Color 0.017758480679449826 0.021586511596862108
X0 0.0031577429831077058 8.407655968763107e-05
X1 -1.3004338942939109 0.16104868393581248
RestFrameMag_0_UX 16.58676596206246 0.0
RestFrameMag_0_B 16.895323239822094 0.028908294725915412
RestFrameMag_0_V 16.865593419051137 0.0
RestFrameMag_0_R 16.84393110450043 0.0
CovDayMaxDayMax 0.2758961030565147 -1
CovDayMaxRestFrameMag_0_B 0.008874704291302878 -1
CovDayMaxX1 -0.06385170187576274 -1
CovDayMaxColor 0.0028043403440198384 -1
CovRestFrameMag_0_BDayMax 0.008874704291302878 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0008356895039603889 -1
CovRestFrameMag_0_BX1 -0.0017804853519956976 -1
CovRestFrameMag_0_BColor 0.0004933139243525326 -1
CovX1DayMax -0.06385170187576274 -1
CovX1RestFrameMag_0_B -0.0017804853519956974 -1
CovX1X1 0.025936678597457224 -1
CovX1Color -0.0008293164512969755 -1
CovColorDayMax 0.0028043403440198367 -1
CovColorRestFrameMag_0_B 0.0004933139243525324 -1
CovColorX1 -0.0008293164512969749 -1
CovColorColor 0.00046597748292146233 -1

dmu_estimate 0.053806041797117656
FirstPhase  1.502700127363062
LastPhase  44.2361163150305
LatestNegPhase  1000
EarliestPosPhase  1.502700127363062
NightsNegPhase  0
NightsPosPhase  8

salt3source   1
salt2_version   salt3-f22
