#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_r
@MAGSYS  Linear_AB11_off
57140.08226  15.96  0.028
57140.08387  15.951  0.028
57140.12256  15.953  0.028
57140.12421  15.927  0.029
57140.15724  15.914  0.029
57140.15892  15.917  0.029
57143.38444  15.649  0.029
57143.38602  15.631  0.028
57146.31911  15.465  0.028
57146.32068  15.447  0.028
57149.03066  15.346  0.028
57149.03224  15.341  0.028
57154.41039  15.241  0.029
57154.41197  15.231  0.029
57157.27401  15.359  0.033
57157.27559  15.249  0.03
57160.16205  15.285  0.028
57160.16376  15.262  0.028
57163.1813  15.318  0.029
57163.33468  15.314  0.027
57163.33625  15.321  0.029
57163.42538  15.317  0.029
57163.42696  15.318  0.029
57173.30175  15.921  0.039
57173.30333  15.991  0.035
57177.27719  15.769  0.03
57177.2788  15.722  0.03
57181.11895  15.792  0.028
57181.12157  15.802  0.028
57181.18113  15.788  0.028
57181.18297  15.767  0.028
57186.43446  15.92  0.028
57192.43807  16.111  0.028
57192.43963  16.113  0.029
57197.8069  16.25  0.03
57197.80843  16.23  0.029
57203.13218  16.367  0.033
57203.13388  16.371  0.033
57203.40912  16.439  0.029
57203.41069  16.415  0.029
