Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 57221.57490991453 0.1593749286147512
Redshift 0.03442 0 F
Color 0.008020020692155017 0.018281950870833112
X0 0.0044912540487882496 9.072952292008254e-05
X1 0.21451883495350232 0.16247557328006101
RestFrameMag_0_UX 16.129180889492105 0.0
RestFrameMag_0_B 16.512552850408543 0.021933368009174163
RestFrameMag_0_V 16.479038947458765 0.0
RestFrameMag_0_R 16.488530240540765 0.0
CovDayMaxDayMax 0.025400367870957036 -1
CovDayMaxRestFrameMag_0_B -0.00016936274756912544 -1
CovDayMaxX1 -0.009359784904691361 -1
CovDayMaxColor -0.00020762553149326698 -1
CovRestFrameMag_0_BDayMax -0.00016936274756912924 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0004810726322258645 -1
CovRestFrameMag_0_BX1 0.0012982470569606371 -1
CovRestFrameMag_0_BColor 0.0003345467935288825 -1
CovX1DayMax -0.00935978490469133 -1
CovX1RestFrameMag_0_B 0.0012982470569606356 -1
CovX1X1 0.02639831191268448 -1
CovX1Color 0.0005936729517177668 -1
CovColorDayMax -0.0002076255314932634 -1
CovColorRestFrameMag_0_B 0.0003345467935288826 -1
CovColorX1 0.0005936729517177692 -1
CovColorColor 0.0003342297276435556 -1

dmu_estimate 0.043918570973982184
FirstPhase  -5.128390706420534
LastPhase  28.691527701966795
LatestNegPhase  -0.28799705586750496
EarliestPosPhase  5.508487930887571
NightsNegPhase  2
NightsPosPhase  5

salt3source   1
salt2_version   salt3-f22
