Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 57329.27455560169 0.1160255949841988
Redshift 0.01884 0 F
Color -0.014056280274770658 0.016424569207210634
X0 0.014195267515559558 0.0002757482570407322
X1 1.3759909388153866 0.09763780746509726
RestFrameMag_0_UX 14.80744191931292 0.0
RestFrameMag_0_B 15.26281448482296 0.02109082239837396
RestFrameMag_0_V 15.241491649013424 0.0
RestFrameMag_0_R 15.282537904140726 0.0
CovDayMaxDayMax 0.013461938691437338 -1
CovDayMaxRestFrameMag_0_B 0.0003898892307217009 -1
CovDayMaxX1 0.0004972178566258418 -1
CovDayMaxColor 0.00012818500434737986 -1
CovRestFrameMag_0_BDayMax 0.00038988923072169775 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.00044482278943975276 -1
CovRestFrameMag_0_BX1 0.0006627781221973654 -1
CovRestFrameMag_0_BColor 0.00029502623725270293 -1
CovX1DayMax 0.0004972178566258368 -1
CovX1RestFrameMag_0_B 0.0006627781221973652 -1
CovX1X1 0.009533141446591401 -1
CovX1Color 7.169694715269579e-05 -1
CovColorDayMax 0.00012818500434738026 -1
CovColorRestFrameMag_0_B 0.00029502623725270293 -1
CovColorX1 7.169694715269582e-05 -1
CovColorColor 0.00026976647364245176 -1

dmu_estimate 0.03842007846723049
FirstPhase  -14.667863061661603
LastPhase  38.44611950680263
LatestNegPhase  -0.45596521694577896
EarliestPosPhase  2.604476069301052
NightsNegPhase  12
NightsPosPhase  22

salt3source   1
salt2_version   salt3-f22

COMPARISON_OF_INSTRUMENTS
Instrument|All	4.851304585575709
Instrument|CNIa02	4.892453030001717	0.054523797251257465
Instrument|PS	4.825442079716267	0.04312681436612824
