#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                7005.495710619509    All      1.2810438053428674         -0.0982482373126814       1.9934948462805635        -0.3603202764544337       
Zeropoint     AB|PS|PS_r                5783.850589049663    All      0.328692405340388          0.09046580236518054       -3.6543557496224732       -0.2406753552682366       
Zeropoint     AB|PS|PS_g                4554.456513783928    All      -0.8141236481982141        1.052281776276498         1.546668375924476         0.6769703556926271        
Zeropoint     AB|PS|PS_z                8051.023960269467    All      0.2018578666258801         -0.044016568681115587     0.1340197264725007        -0.07410870774601404      
Check         All|All|All               All                  All      0.9974704291109215         1.0004827726478815        0.019827199055066913      0.0018660162239427097     
Lambda        AB|PS|PS_i                7005.495710619509    All      -0.0007613792521696517     1.1866501179423181e-05    -0.0017548798991214153    0.00017355935086952476    
Lambda        AB|PS|PS_r                5783.850589049663    All      -6.333439116201429e-05     -3.213940098122674e-05    0.00017722059852688288    1.8069775954062054e-05    
Lambda        AB|PS|PS_g                4554.456513783928    All      -1.7206743014888573e-05    -8.606551232457495e-05    -0.0007480225044286566    -5.581037537993887e-05    
Lambda        AB|PS|PS_z                8051.023960269467    All      1.619909904046335e-05      2.3392638087532577e-06    9.24585617285105e-05      -3.886033468743168e-07    
MWEBV         All|All|All               All                  All      -0.6321707057397665        -3.796645450613312        0.15701803781545953       -1.0237665386621588       
Redshift      All|All|All               All                  All      6.14958865334365           0.7203195201727297        9.434084704265343         -1.347491703155234        
