Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 57099.09812815122 0.25997483166974467
Redshift 0.02812 0 F
Color 0.08045430010598986 0.018842444032733902
X0 0.0034983325792270143 7.822026915637237e-05
X1 -0.873873046070224 0.13703534251856844
RestFrameMag_0_UX 16.530818969255286 0.0
RestFrameMag_0_B 16.78368492531733 0.024276301994067224
RestFrameMag_0_V 16.68654912774143 0.0
RestFrameMag_0_R 16.637498290368185 0.0
CovDayMaxDayMax 0.06758691310171208 -1
CovDayMaxRestFrameMag_0_B 0.0018596612556105725 -1
CovDayMaxX1 -0.016742763015164416 -1
CovDayMaxColor -0.0003196232834265315 -1
CovRestFrameMag_0_BDayMax 0.0018596612556105736 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0005893388385071523 -1
CovRestFrameMag_0_BX1 0.0003401337342511879 -1
CovRestFrameMag_0_BColor 0.00035856191523005984 -1
CovX1DayMax -0.016742763015164412 -1
CovX1RestFrameMag_0_B 0.00034013373425118796 -1
CovX1X1 0.018778685099181375 -1
CovX1Color 0.0003751669164427167 -1
CovColorDayMax -0.00031962328342653615 -1
CovColorRestFrameMag_0_B 0.00035856191523005973 -1
CovColorX1 0.0003751669164427188 -1
CovColorColor 0.0003550376971267095 -1

dmu_estimate 0.04317446406942632
FirstPhase  -1.6915614434351798
LastPhase  37.11227468464722
LatestNegPhase  -1.6876708470059547
EarliestPosPhase  4.026642657254249
NightsNegPhase  1
NightsPosPhase  9

salt3source   1
salt2_version   salt3-f22
