Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 57362.221493373654 0.17514311085384549
Redshift 0.02012 0 F
Color 0.02282334397111528 0.018178786791082414
X0 0.014512290929606216 0.0003040403740315908
X1 0.009949927591917694 0.10483778572636708
RestFrameMag_0_UX 14.881585437530779 0.0
RestFrameMag_0_B 15.239162374312594 0.02274676296082626
RestFrameMag_0_V 15.192427117155672 0.0
RestFrameMag_0_R 15.190349157208457 0.0
CovDayMaxDayMax 0.030675109279562407 -1
CovDayMaxRestFrameMag_0_B -0.0005389665023750923 -1
CovDayMaxX1 -0.009244191355733065 -1
CovDayMaxColor -0.0006713617097608159 -1
CovRestFrameMag_0_BDayMax -0.000538966502375094 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0005174152251960173 -1
CovRestFrameMag_0_BX1 0.0006617480616693799 -1
CovRestFrameMag_0_BColor 0.0003569892189061163 -1
CovX1DayMax -0.009244191355733058 -1
CovX1RestFrameMag_0_B 0.0006617480616693807 -1
CovX1X1 0.010990961316007658 -1
CovX1Color 0.0003297406910522027 -1
CovColorDayMax -0.0006713617097608156 -1
CovColorRestFrameMag_0_B 0.0003569892189061163 -1
CovColorX1 0.0003297406910522021 -1
CovColorColor 0.00033046828919563244 -1

dmu_estimate 0.03937472599638815
FirstPhase  -4.781293743536802
LastPhase  33.373041040612065
LatestNegPhase  -0.8033303666747262
EarliestPosPhase  3.9568939206637905
NightsNegPhase  2
NightsPosPhase  6

salt3source   1
salt2_version   salt3-f22
