Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 57402.06936738833 0.35472973469021174
Redshift 0.03075 0 F
Color 0.0014128192270731377 0.02314010106954057
X0 0.0037939482281313867 0.00010778129507349329
X1 -1.903021699131465 0.17627997335864035
RestFrameMag_0_UX 16.394328818322826 0.0
RestFrameMag_0_B 16.69618840388152 0.03084439934876152
RestFrameMag_0_V 16.688510110395736 0.0
RestFrameMag_0_R 16.66572387303702 0.0
CovDayMaxDayMax 0.12583318467338803 -1
CovDayMaxRestFrameMag_0_B 0.004589728281618045 -1
CovDayMaxX1 -0.03521095253781881 -1
CovDayMaxColor 0.0019370769669752547 -1
CovRestFrameMag_0_BDayMax 0.004589728281618059 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0009513769711858802 -1
CovRestFrameMag_0_BX1 -0.00029105110276990366 -1
CovRestFrameMag_0_BColor 0.0006315571596820757 -1
CovX1DayMax -0.0352109525378188 -1
CovX1RestFrameMag_0_B -0.0002910511027698999 -1
CovX1X1 0.03107462900732295 -1
CovX1Color -3.499936430766629e-05 -1
CovColorDayMax 0.0019370769669752594 -1
CovColorRestFrameMag_0_B 0.0006315571596820757 -1
CovColorX1 -3.4999364307669286e-05 -1
CovColorColor 0.0005354642775085527 -1

dmu_estimate 0.05150966661488025
FirstPhase  1.1648145638301917
LastPhase  42.84708475543818
LatestNegPhase  1000
EarliestPosPhase  1.1648145638301917
NightsNegPhase  0
NightsPosPhase  8

salt3source   1
salt2_version   salt3-f22
