#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5373.319863070308    All      -0.05114292923529615       0.182896408214539          -0.15206310778811402       0.06944843377291972        
Zeropoint     AB|PS|PS_z                            8483.792730712436    All      0.4410140812261425         -0.13973945660934461       0.31641360232627597        -0.17505044766019132       
Zeropoint     AB|PS|PS_r                            6094.751403679094    All      1.2009967081058686         -0.023692720505064102      -0.7296183952413724        -0.43148115594755726       
Zeropoint     AB|PS|PS_i                            7382.06393100856     All      0.49433025867448716        -0.15608785759884114       0.3221524472333578         -0.19748639446330887       
Zeropoint     AB|PS|PS_g                            4799.273391144241    All      -1.0839032872471805        1.1337481478570943         0.24876343438286086        0.7334632005259697         
Check         All|All|All                           All                  All      1.0012948315240213         0.9971245213583835         0.0056479809130082215      -0.0011063637721679953     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5373.319863070308    All      5.75129258117773e-07       1.967315841270795e-05      -8.675591070886834e-07     6.182141223752126e-06      
Lambda        AB|PS|PS_z                            8483.792730712436    All      0.0005802708455329042      -0.00017837441805436312    0.00037535043461568544     -0.00023036555506349135    
Lambda        AB|PS|PS_r                            6094.751403679094    All      -0.00016947210998077738    -4.619509698792311e-05     -0.0007313059506463464     7.52055301443153e-06       
Lambda        AB|PS|PS_i                            7382.06393100856     All      -4.076011729154666e-05     -1.9792661352048483e-05    -0.00041618181997112486    -1.1742492963044278e-05    
Lambda        AB|PS|PS_g                            4799.273391144241    All      -0.0004917278203607306     0.00026467873675312066     -0.0011438813501302798     0.00019534032968925177     
MWEBV         All|All|All                           All                  All      -0.6748270835945993        -4.094073077571725         0.15702444797810233        -1.1067536301642102        
Redshift      All|All|All                           All                  All      5.3429015232924115         -0.12281531118620848       7.745207336083435          -1.4347307587736775        
