#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4334.221453602286    All      -0.5848926655857232        0.4138108139965624         -0.19881537989009365       0.31643836239001394       
Zeropoint     AB|CNIa02|SDSS_r                      6113.83001424045     All      0.6047355425536041         -0.07583441367460253       -0.2721386431539837        -0.23382832258641773      
Zeropoint     AB|PS|PS_g                            4843.055738419741    All      -0.46700309934390605       0.6040158826227326         0.34241752199724435        0.3641466392443848        
Zeropoint     AB|PS|PS_i                            7449.408310104309    All      0.2195175118637695         -0.03781930823247848       0.16333362892007278        -0.07653423874078111      
Zeropoint     AB|PS|PS_z                            8561.187854781592    All      0.19078919252015422        -0.05127562183711021       0.04181682227748075        -0.07698238101148194      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5422.339065998273    All      0.1673549499017479         0.24125051136785203        -0.34579171727896807       0.008639119283024585      
Zeropoint     AB|CNIa02|SDSS_i                      7414.087480923588    All      0.2977810901372904         -0.0663269918312892        0.08626204800658031        -0.11475250208197985      
Zeropoint     AB|PS|PS_r                            6150.352012514195    All      0.5681846635297993         -0.030601358695925285      0.18387530418073172        -0.1868387965970568       
Check         All|All|All                           All                  All      0.9964671855767362         0.9972195137157414         0.0009595850590645716      0.000287879899705884      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4334.221453602286    All      -0.00024502770288341785    8.741061337611823e-05      -0.0005809664115360523     8.23602338368394e-05      
Lambda        AB|CNIa02|SDSS_r                      6113.83001424045     All      -2.144032625763538e-05     -2.9938728774740323e-05    -0.0003195850040570244     -1.70298202191913e-05     
Lambda        AB|PS|PS_g                            4843.055738419741    All      -0.0001670149792369561     3.24553728434689e-05       -0.0008362769430537528     2.765485696484067e-05     
Lambda        AB|PS|PS_i                            7449.408310104309    All      -2.1900370107813107e-05    5.272797796404049e-06      -2.5502713448501426e-06    8.737387859925957e-06     
Lambda        AB|PS|PS_z                            8561.187854781592    All      0.00019565719428776737     -5.152356257775693e-05     5.78844628126867e-05       -7.793178679484894e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5422.339065998273    All      -6.904694480581102e-06     -5.362173038177584e-06     -0.00069883882498486       -3.068351712720596e-05    
Lambda        AB|CNIa02|SDSS_i                      7414.087480923588    All      -4.3399977550567724e-05    -1.7959059672561064e-05    -0.00024452584595114534    -2.625121504006597e-06    
Lambda        AB|PS|PS_r                            6150.352012514195    All      -6.30082693942352e-05      -4.060259295294732e-06     -0.00010800386380760558    1.4381589823224267e-05    
MWEBV         All|All|All                           All                  All      -0.7953156038451747        -4.085152259491487         0.04954791652861635        -1.069396935205828        
Redshift      All|All|All                           All                  All      4.866181595225549          0.8779130818290959         5.865425342554121          -1.037363270836006        
