Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 57836.946576585164 0.281337154753885
Redshift 0.0229 0 F
Color -0.07393721452179214 0.019407054395150992
X0 0.010745545362563376 0.00024446609094292603
X1 0.9131623622006819 0.16367639473045079
RestFrameMag_0_UX 15.056348310361752 0.0
RestFrameMag_0_B 15.564794300332833 0.024700997186904092
RestFrameMag_0_V 15.608761619288696 0.0
RestFrameMag_0_R 15.674443339297147 0.0
CovDayMaxDayMax 0.07915059464501144 -1
CovDayMaxRestFrameMag_0_B 0.0013841463947934342 -1
CovDayMaxX1 -0.02727024616676031 -1
CovDayMaxColor 0.00040663508593319277 -1
CovRestFrameMag_0_BDayMax 0.0013841463947934479 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0006101392620274439 -1
CovRestFrameMag_0_BX1 0.0005533158766300486 -1
CovRestFrameMag_0_BColor 0.00039408967964769503 -1
CovX1DayMax -0.027270246166760298 -1
CovX1RestFrameMag_0_B 0.0005533158766300535 -1
CovX1X1 0.02678996219195834 -1
CovX1Color 1.96083497130924e-05 -1
CovColorDayMax 0.0004066350859332018 -1
CovColorRestFrameMag_0_B 0.000394089679647695 -1
CovColorX1 1.960834971308605e-05 -1
CovColorColor 0.0003766337602963494 -1

dmu_estimate 0.04876576007172967
FirstPhase  -5.2640302914905
LastPhase  32.710356256563664
LatestNegPhase  -3.3811482893402647
EarliestPosPhase  4.477879963670106
NightsNegPhase  2
NightsPosPhase  4

salt3source   1
salt2_version   salt3-f22
