Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 57788.89350681139 0.3878178976813591
Redshift 0.04644 0 F
Color 0.20876807204232217 0.026431807556818173
X0 0.0008935166863657761 2.8995067723667758e-05
X1 -0.7316485507412216 0.2000137986839767
RestFrameMag_0_UX 18.1528075331015 0.0
RestFrameMag_0_B 18.26348071723149 0.035232688171771526
RestFrameMag_0_V 18.035555239504383 0.0
RestFrameMag_0_R 17.918345136861312 0.0
CovDayMaxDayMax 0.15040272176198913 -1
CovDayMaxRestFrameMag_0_B 0.00078880667371609 -1
CovDayMaxX1 -0.04071927233638689 -1
CovDayMaxColor -0.0014726768899187576 -1
CovRestFrameMag_0_BDayMax 0.0007888066737160828 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0012413423158092892 -1
CovRestFrameMag_0_BX1 0.0010042783755896908 -1
CovRestFrameMag_0_BColor 0.0007858445965178426 -1
CovX1DayMax -0.04071927233638688 -1
CovX1RestFrameMag_0_B 0.0010042783755896858 -1
CovX1X1 0.04000551966399436 -1
CovX1Color 0.0004304043538383194 -1
CovColorDayMax -0.0014726768899187635 -1
CovColorRestFrameMag_0_B 0.0007858445965178426 -1
CovColorX1 0.00043040435383832383 -1
CovColorColor 0.0006986404507206703 -1

dmu_estimate 0.060538097230672404
FirstPhase  -2.2949302505589793
LastPhase  34.88159205363278
LatestNegPhase  -2.2911077667081945
EarliestPosPhase  8.982352727919936
NightsNegPhase  1
NightsPosPhase  4

salt3source   1
salt2_version   salt3-f22
