#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K2_I
@MAGSYS  Linear_AB11_off
51336.2  13.318  0.022
51337.23  13.244  0.021
51338.2  13.22  0.015
51339.22  13.22  0.012
51342.25  13.258  0.032
51344.19  13.271  0.01
51345.2  13.32  0.01
51346.21  13.355  0.01
51347.2  13.389  0.011
51348.22  13.458  0.01
51351.2  13.611  0.156
51353.19  13.659  0.01
51355.2  13.655  0.039
51357.2  13.568  0.014
51359.19  13.536  0.01
51362.19  13.5  0.011
51365.19  13.511  0.014
51368.2  13.567  0.01
51377.2  14.064  0.092
51380.19  14.375  0.019
51383.19  14.52  0.019
