#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5383.9940446098835    All      -2.730001559269316         -0.1166763876648158        -11.672114300324731       0.3303731310944663         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                   6390.362998617286     All      1.726764990789785          -0.5666885522305876        2.308148740353544         -0.6440511940038883        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                   5386.677984481382     All      -0.8381173309066229        0.16002208074472613        -4.527735758578788        0.12307479241891045        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7851.467999700984     All      0.44018876586967437        0.16257662262986194        1.574505400408266         -0.020164463642957653      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4385.1600803603915    All      0.3630855325037387         0.3862568994519755         3.046450473433304         0.14349676931876207        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                   7921.666825438154     All      1.5589994610041331         0.15718334852299343        5.3396956235041815        -0.2183315348733117        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                   4393.055953068796     All      0.6285109023155018         0.7984745347689337         5.50171499313401          0.30087901840807546        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6544.5914764840245    All      -0.1431040360891334        0.1392465306186974         -1.5257741868285768       0.023882574303685927       
Check         All|All|All                                      All                   All      1.0063267262177606         1.1203950768417847         0.04489098510120826       0.039159093023742514       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5383.9940446098835    All      -0.001715454357363635      -8.498378587107427e-05     -0.007328110326402041     0.0002040779989496681      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                   6390.362998617286     All      -0.0001337183940683697     -4.501378498654303e-05     -0.000294035081324994     1.5772574247655528e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                   5386.677984481382     All      -2.238218343928975e-05     0.00012856218274337835     -0.0009733268404806742    5.732439425672873e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7851.467999700984     All      2.49422416110557e-05       1.1107501079759925e-05     0.0001035970100686805     1.1662861502066975e-07     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4385.1600803603915    All      0.0003742447590756177      0.0003678458487260248      0.00299484596577131       0.000131561885003608       
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                   7921.666825438154     All      -3.0023832745091458e-05    3.0998341244523426e-05     -3.070523143068785e-05    1.850669618358653e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                   4393.055953068796     All      0.0003609981823715335      0.0006626915079306582      0.004054530262293243      0.00027920650537241015     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6544.5914764840245    All      -1.2973748870077772e-05    -2.8465285060510718e-05    8.956595142506157e-05     -1.0491859430617296e-06    
MWEBV         All|All|All                                      All                   All      -0.4169147434535776        -3.9889038261297305        1.807812641695583         -1.0828399839621687        
Redshift      All|All|All                                      All                   All      2.6033729954379643         -5.1966055203245265        -10.956504496606344       -3.029648088533407         
