Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 51926.49244493223 0.1335795550362819
Redshift 0.019233305729125447 0 F
Color 0.3328331276175639 0.01866924682558511
X0 0.0037607880082578104 7.759612190047312e-05
X1 0.1649589895258267 0.14789932247680848
RestFrameMag_0_UX 16.690009547020313 0.0
RestFrameMag_0_B 16.699302663873535 0.022401932443726676
RestFrameMag_0_V 16.338234478566754 0.0
RestFrameMag_0_R 16.17028992455189 0.0
CovDayMaxDayMax 0.01784349752369107 -1
CovDayMaxRestFrameMag_0_B 0.0006728567908888047 -1
CovDayMaxX1 0.005507815117131763 -1
CovDayMaxColor 0.00028148361874827925 -1
CovRestFrameMag_0_BDayMax 0.0006728567908888013 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0005018465772132939 -1
CovRestFrameMag_0_BX1 0.0012167721436647148 -1
CovRestFrameMag_0_BColor 0.0003564752341025855 -1
CovX1DayMax 0.00550781511713176 -1
CovX1RestFrameMag_0_B 0.0012167721436647145 -1
CovX1X1 0.02187420958909899 -1
CovX1Color 0.0005090511043910221 -1
CovColorDayMax 0.0002814836187482842 -1
CovColorRestFrameMag_0_B 0.00035647523410258555 -1
CovColorX1 0.0005090511043910227 -1
CovColorColor 0.0003485407770346197 -1

dmu_estimate 0.043746995421940646
FirstPhase  -10.834069952542876
LastPhase  41.1265554531591
LatestNegPhase  -0.934471947564286
EarliestPosPhase  0.056468982568994
NightsNegPhase  4
NightsPosPhase  11

salt3source   1
salt2_version   salt3-f22
