#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4391.888972004039     All      -0.3287238058570351        0.2126637901325168         -0.15085338850680752       0.1696158572521561        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7914.264327322359     All      0.16703722851574815        -0.03768374438060107       0.03375402182399139        -0.06517806902490632      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6342.9886977850165    All      0.338958227324673          -0.033915152315522334      0.08526075780987225        -0.1176523308860726       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5392.255615880332     All      0.1119460942738743         0.11312658085653737        -0.19393591531400184       -0.008269945868193872     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5394.925808920989     All      0.23782150694411713        0.1929907960580124         -0.017357576912225815      -0.01537742635930935      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4376.966281157862     All      -0.5316357252430656        0.38391884971282764        -0.048403271642961716      0.2960662302087321        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8191.69588901727      All      0.09677577412145488        -0.019768681883824968      0.03876884237878868        -0.03623228814312241      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6554.633948387029     All      0.3577003173478276         -0.04362796851102857       0.05865832556711863        -0.12810817435054103      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4402.816875221715     All      -0.23660586932278968       0.20489955279279215        0.1194195485369932         0.1491419870570521        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5361.633956719274     All      0.14644242819338307        0.12680614360962572        0.11138472226472071        -0.0014255953203552477    
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6400.602033222375     All      0.4998829483010558         -0.07665813418888945       -0.09158152061970044       -0.1918852608517408       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7863.5158329488895    All      0.13735242902708056        -0.02645375737415634       0.05548835600771916        -0.050880873494520966     
Check         All|All|All                                      All                   All      0.9969515536263241         0.9962982745082893         0.0006029013935067024      -0.0001858897808222834    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4391.888972004039     All      -0.00014911061834207707    5.60032193990869e-05       -0.0002751107698179535     5.453539487820989e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7914.264327322359     All      1.096979580747995e-05      5.8440123585360385e-06     6.642919356992305e-05      1.2947935081874751e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6342.9886977850165    All      -8.5403671026677e-05       -2.967520892522586e-06     -0.00011303253778347678    2.180804314586909e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5392.255615880332     All      3.302302979469908e-05      9.811790001850224e-06      -0.00021187992576862349    -1.701589238539097e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5394.925808920989     All      2.1027691704363235e-05     -2.0921822636800505e-05    -0.0006115271513273007     -4.095398504006643e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4376.966281157862     All      -0.00023669584881190567    7.579051915578832e-05      -0.0004899925346046596     7.992097417812888e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8191.69588901727      All      -8.044443326592072e-06     1.1815839423970815e-06     -6.615126826797607e-06     2.710017880689864e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6554.633948387029     All      -6.15993587167634e-05      2.7579819468674647e-06     -4.735134466235032e-05     1.8850230112341654e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4402.816875221715     All      -9.341184084557586e-05     2.5957979058459836e-05     -0.00021378049506929923    2.9342635856528242e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5361.633956719274     All      9.369376107761042e-06      7.309267750425073e-06      -0.0003546235666972928     -1.649626612210589e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6400.602033222375     All      -0.00013668924363998813    -1.5095486857486198e-05    -0.0002778336657109762     2.720864644302873e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7863.5158329488895    All      -4.61182740501371e-06      1.9893369315847864e-06     7.883889241657984e-06      2.5020381637477658e-06    
MWEBV         All|All|All                                      All                   All      -0.8424012807447974        -4.094670443588733         0.03187737993067237        -1.0579485217568187       
Redshift      All|All|All                                      All                   All      3.334753700632942          -0.04588374251470739       -0.055955057633469765      -1.103681852131412        
