#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K3_R
@MAGSYS  Linear_AB11_off
53518.29  15.993  0.021
53520.29  15.941  0.016
53521.3  15.931  0.013
53522.28  15.941  0.014
53523.31  15.912  0.014
53524.33  15.967  0.03
53526.28  15.985  0.01
53527.25  16.04  0.034
53528.29  16.079  0.027
53531.25  16.218  0.016
53532.26  16.333  0.026
53534.27  16.424  0.012
53536.2  16.549  0.021
53540.22  16.807  0.022
53542.2  16.941  0.028
53544.2  17.024  0.018
53546.22  17.145  0.025
53548.21  17.178  0.027
53550.2  17.265  0.021
53554.2  17.41  0.026
53557.2  17.531  0.046
53560.2  17.629  0.038
53563.19  17.575  0.03
53566.19  17.64  0.06
53569.19  17.883  0.059
53573.19  17.806  0.041
53576.19  17.907  0.06
