#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5235.789055801509     All      0.23237436938098954        0.6419455444540922        0.21953552491125183       0.14320766839933038       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6194.110055445976     All      1.3918321604913435         -0.22924474104697445      0.2343327828599029        -0.5175808828294826       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4299.47672595118      All      -1.2644447642176178        0.717074896890546         -0.9369917483856682       0.6036325054004323        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    7999.4255539247515    All      0.5381799425795092         -0.1728068858351417       0.3207231052740567        -0.21727940162609288      
Check         All|All|All                       All                   All      0.8979417082342245         0.9569688144625221        -0.16240033534045684      0.011979889344187311      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5235.789055801509     All      -1.4763135404312566e-05    0.00034702876965078547    -0.0015160779073150527    5.0191932167080065e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6194.110055445976     All      -0.00037044072743280034    7.783060015232317e-05     -0.0002447659578798797    0.0001350939385523062     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4299.47672595118      All      -0.0008287879430587913     0.0002043500340108189     -0.001643034854737472     0.00026320592898064385    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    7999.4255539247515    All      -3.561931359969815e-05     1.6820954541152228e-05    -7.717947131003336e-05    1.3637355234975835e-05    
MWEBV         All|All|All                       All                   All      -0.832150024462003         -4.018024864048009        -0.007952376724662535     -1.0380991254714282       
Redshift      All|All|All                       All                   All      7.920077292347205          -1.7919689565317753       8.96778907281026          -2.7633417413368          
