#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K4_V
@MAGSYS  Linear_AB11_off
54687.44  15.492  0.012
54692.46  15.516  0.012
54694.39  15.635  0.034
54696.4  15.678  0.016
54699.45  15.765  0.071
54701.41  15.975  0.015
54703.39  16.09  0.016
54705.38  16.184  0.016
54707.4  16.267  0.013
54714.44  16.563  0.017
54720.35  16.864  0.019
54731.32  17.45  0.031
54734.35  17.569  0.024
54740.29  17.727  0.033
54748.27  17.916  0.038
54751.28  18.103  0.096
54767.27  18.335  0.366
54775.35  18.801  0.158
