#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K4_B
@MAGSYS  Linear_AB11_off
55955.17  18.216  0.086
55957.15  16.331  0.068
55959.12  15.622  0.031
55961.12  15.204  0.031
55962.11  15.041  0.027
55963.12  14.917  0.026
55966.11  14.828  0.034
55967.13  14.693  0.05
55974.12  15.132  0.032
55978.12  15.448  0.075
55980.12  15.795  0.034
55982.13  16.012  0.031
55990.13  16.769  0.098
55991.13  16.828  0.063
55992.15  16.962  0.118
55995.15  17.195  0.132
55996.14  17.107  0.064
56135.48  19.214  0.684
56197.54  19.516  0.52
