#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_r
@MAGSYS  Linear_AB11_off
57714.20508  15.333  0.022
57714.5947  15.321  0.022
57714.59656  15.328  0.022
57715.5847  15.347  0.022
57715.58656  15.351  0.022
57716.94554  15.387  0.022
57716.94741  15.384  0.022
57718.92939  15.475  0.022
57718.93125  15.466  0.022
57718.96553  15.462  0.022
57718.9675  15.478  0.022
57720.94097  15.567  0.022
57720.94282  15.59  0.022
57721.29316  15.596  0.022
57721.295  15.593  0.022
57723.08499  15.701  0.022
57723.08684  15.691  0.022
57724.03171  15.745  0.023
57724.03357  15.752  0.023
57725.08517  15.809  0.022
57725.08702  15.795  0.022
57726.17061  15.849  0.022
57726.17246  15.852  0.022
57726.91299  15.875  0.023
57726.91484  15.84  0.023
57728.08395  15.883  0.022
57728.0858  15.884  0.022
57729.34485  15.905  0.022
57729.34669  15.902  0.022
57730.15992  15.922  0.023
57730.16176  15.928  0.023
57730.34385  15.926  0.023
57730.34569  15.93  0.023
57733.89873  16.05  0.023
57733.90058  16.047  0.023
57739.53132  16.183  0.038
57739.53316  16.236  0.03
57742.87311  16.394  0.025
57742.87496  16.357  0.025
57746.86874  16.648  0.026
57746.87152  16.631  0.027
57747.22723  16.639  0.022
57747.23001  16.641  0.022
57747.29591  16.652  0.023
57757.83861  17.163  0.024
57757.8414  17.174  0.025
57760.89043  17.328  0.032
57760.89321  17.319  0.033
57761.82762  17.348  0.029
57761.83039  17.33  0.031
57769.84869  17.607  0.029
57769.85147  17.621  0.029
57770.64574  17.659  0.027
57770.64852  17.613  0.027
57778.80691  17.827  0.035
57778.80969  17.899  0.034
57784.80712  18.065  0.031
57784.80992  18.091  0.031
57808.54223  18.849  0.05
57814.8105  19.062  0.036
57814.81329  19.12  0.038
57815.80793  19.063  0.04
57815.81071  19.057  0.038
