#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4356.42226984757     All      -1.1598299046608052       0.7519096611030562        -0.031164520861823898      0.6213257415002579         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5268.689900256159    All      0.41144470809555955       0.4898873768381051        -0.0852900578085188        0.02174525433966725        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6228.203660359504    All      1.3238317056558566        -0.1474149104597977       -0.08203584696459061       -0.4828943085178512        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7716.885855788707    All      0.4233005665837347        -0.09656244416618165      0.19997176732519192        -0.16041266404767593       
Check         All|All|All                       All                  All      0.9987470756743456        0.997819683315182         0.0014813416902586252      -0.00023597672560202176    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4356.42226984757     All      -0.0004500527781120062    0.00017562067750942533    -0.0005193122033700184     0.00018062791001945898     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5268.689900256159    All      3.148339158342336e-05     9.545105425211901e-05     -0.0011346122058137039     -2.9796159455303522e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6228.203660359504    All      -0.00039797184569428      2.4554848795911777e-05    -0.0006200943670689163     0.00010995888149894146     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7716.885855788707    All      -7.215156654313677e-05    1.9554448848151754e-05    -3.2542157185004504e-07    2.98571441810896e-05       
MWEBV         All|All|All                       All                  All      -0.8132533627072496       -4.009271484277388        0.03009663597024572        -1.0397051734339462        
Redshift      All|All|All                       All                  All      4.870563291319096         -0.17601791076717888      5.052856384611876          -1.4183517515942825        
