#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_r
@MAGSYS  Linear_AB11_off
57008.85657  15.738  0.078
57008.85815  15.779  0.064
57010.57002  15.714  0.066
57010.5716  15.718  0.066
57012.81132  15.607  0.06
57012.81306  15.583  0.065
57012.86478  15.604  0.06
57012.86637  15.599  0.062
57014.80913  15.551  0.064
57014.81071  15.548  0.067
57014.83093  15.558  0.064
57014.86003  15.558  0.065
57014.86161  15.549  0.069
57018.8648  15.627  0.06
57018.86638  15.636  0.062
57022.81885  15.833  0.057
57022.82049  15.828  0.059
57026.82569  16.025  0.08
57026.82729  16.078  0.065
57030.80623  16.289  0.077
57030.8078  16.357  0.064
