#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_g
@MAGSYS  Linear_AB11_off
56923.74553  16.828  0.01
56923.74303  16.76  0.01
56927.59326  16.739  0.01
56927.59577  16.657  0.01
56932.54742  17.021  0.01
56932.54992  17.027  0.01
56936.04816  17.156  0.015
56936.05065  17.148  0.014
56940.18751  17.547  0.027
56943.83634  17.905  0.017
56943.83384  17.88  0.018
56948.03567  18.415  0.022
56947.97222  18.289  0.02
56948.03315  18.316  0.023
56947.96971  18.311  0.018
56951.70217  18.557  0.049
56951.69967  18.558  0.047
56955.69488  18.945  0.036
56955.69234  18.859  0.036
56959.65659  19.431  0.152
56962.64976  19.374  0.061
56962.64604  19.534  0.074
56966.82926  19.718  0.194
56966.87117  19.56  0.169
