#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4151.556225273326    All      -0.5573077596216696        0.38018661152827704       0.2473574428532741        0.31641118593512874       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4469.980260929467    All      -0.872339598530729         0.5045133273394953        -0.8302975505711726       0.41143392880846047       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7150.307524500302    All      0.11549556148899953        -0.009734625622215276     0.06020969488369422       -0.038104709743370914     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5892.41555734888     All      1.9890576716694577         -0.01025040530784338      -0.34924268065037206      -0.6668255127773297       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5202.66602243934     All      0.32513077905690296        0.1334930964580039        0.8724236825016884        -0.023490435861943906     
Check         All|All|All                      All                  All      1.0000366540629617         0.9982080043957176        0.00045058901711203525    -0.0005755436390553446    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4151.556225273326    All      -0.00024430063359449466    0.0001289899373925498     -5.4337897858605e-05      0.00011916816904899531    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4469.980260929467    All      -0.0002508269041699813     8.945942817572814e-06     -0.0008900282508850408    4.489868945156466e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7150.307524500302    All      -6.545216242788708e-05     2.7750146423455273e-06    -8.322615165207228e-05    1.8509835274885572e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5892.41555734888     All      -0.000375272206824037      -5.726828717418769e-05    -0.0011544311566789223    5.206737823610324e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5202.66602243934     All      0.00011208919158934609     4.3870176696128044e-05    0.0003252444931836601     -7.707009552787168e-06    
MWEBV         All|All|All                      All                  All      -0.8376402461736219        -3.8373650602480325       0.03554746151071129       -0.9755227400154539       
Redshift      All|All|All                      All                  All      5.565966486465779          0.8096291100327058        14.439715422316501        -0.904917382272219        
