#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_r
@MAGSYS  Linear_AB11_off
56879.40675  16.051  0.026
56879.40838  16.038  0.026
56880.3219  15.986  0.026
56880.32384  15.994  0.026
56880.36584  15.986  0.025
56880.36744  15.997  0.026
56882.41337  15.907  0.025
56882.41497  15.911  0.025
56884.42105  15.817  0.025
56886.41466  15.814  0.028
56886.41631  15.832  0.028
56890.4077  15.952  0.026
56890.40933  15.932  0.026
56894.35483  16.197  0.027
56894.35642  16.222  0.028
56896.41341  16.304  0.033
56896.41497  16.417  0.043
56904.26694  16.592  0.026
56904.26889  16.574  0.026
56906.40171  16.533  0.026
56908.36354  16.575  0.031
56908.36549  16.581  0.031
56914.39473  16.93  0.027
56914.39669  16.948  0.027
56921.37991  17.389  0.026
56921.38187  17.388  0.027
56923.72685  17.449  0.029
56923.72843  17.449  0.037
56932.61042  17.745  0.035
56932.61293  17.752  0.034
56940.55914  18.018  0.04
56948.5311  18.319  0.032
56948.53361  18.257  0.032
