#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K4_R
@MAGSYS  Linear_AB11_off
57960.49  13.564  0.043
57961.49  13.648  0.046
57962.48  13.618  0.054
57963.48  13.654  0.399
57964.49  13.661  0.061
57965.51  13.605  0.136
57966.5  13.81  0.04
57970.48  13.99  0.044
57972.49  14.201  0.041
57973.45  14.234  0.056
57974.5  14.235  0.05
57975.47  14.269  0.057
57979.52  14.24  0.06
57980.52  14.289  0.045
57981.52  14.242  0.045
57982.53  14.334  0.088
57987.53  14.296  0.107
57990.53  14.505  0.136
57993.53  14.763  0.052
57995.53  14.877  0.08
57996.54  14.951  0.09
57998.5  14.993  0.047
58000.5  15.177  0.149
58002.34  15.229  0.103
58003.37  15.171  0.122
58009.53  15.392  0.042
58010.52  15.326  0.059
58012.51  15.52  0.042
58013.5  15.547  0.048
58014.5  15.594  0.034
58016.48  15.671  0.037
58018.51  15.745  0.042
58019.49  15.732  0.035
58020.51  15.778  0.043
58022.49  15.77  0.041
58023.47  15.837  0.04
58024.46  15.867  0.04
58025.46  15.893  0.067
58026.47  15.944  0.03
58027.49  15.857  0.066
58028.41  15.99  0.042
58029.36  15.973  0.042
58030.31  16.072  0.059
58037.46  16.306  0.047
58040.39  16.35  0.031
58042.45  16.394  0.035
58043.44  16.49  0.04
58044.44  16.481  0.08
58045.42  16.538  0.025
58047.43  16.494  0.051
58048.41  16.568  0.047
58050.41  16.618  0.036
58051.42  16.736  0.035
58052.42  16.679  0.035
58054.39  16.753  0.047
58055.4  16.8  0.027
58056.37  16.804  0.028
58064.39  17.069  0.078
58067.38  17.054  0.089
58068.37  17.137  0.036
58069.37  17.306  0.041
58070.35  17.184  0.034
58078.32  17.42  0.109
58079.32  17.394  0.043
58080.32  17.423  0.101
58085.33  17.61  0.113
58093.29  17.705  0.133
58096.27  18.011  0.124
58097.29  17.985  0.048
58098.24  17.933  0.059
58099.23  17.949  0.05
58100.18  18.031  0.054
58102.2  18.072  0.051
58105.19  18.023  0.116
58125.13  18.433  0.145
58132.1  18.59  0.115
58154.12  19.58  0.28
