#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6142.893343195745    All      0.6371286667271756         -0.04496714029338378       0.004276709900008076       -0.22199019471148482       
Zeropoint     AB|CNIa02|SDSS_r                      6103.43800090398     All      0.5066182244132659         -0.05028549592660525       -0.02506611822195274       -0.18252044903461848       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4326.854338873198    All      -0.3201827831385117        0.23368189098871284        0.0909355866239143         0.18446998354876248        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5423.823585601371    All      0.3560860583154054         0.12195013674567434        -0.10553994395311196       -0.08097553546948123       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5413.122417881224    All      0.27618746272983463        0.1093797112650563         0.10371794204513114        -0.04970631706990077       
Zeropoint     AB|CNIa02|SDSS_g                      4670.875537945685    All      -0.031139126778293877      0.017721873241161035       -0.03053839916715205       0.014552846688454423       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7454.256419385581    All      0.25493667285887994        -0.04081998440188528       0.09016609565431687        -0.09231397464368854       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4659.992446533115    All      -0.4291119262590616        0.39006831979637724        -0.09343037930235519       0.2626645876517968         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4328.032680642861    All      -0.4820203068185923        0.2997593236085727         -0.11569006982576978       0.2494886289449624         
Zeropoint     AB|CNIa02|SDSS_i                      7401.485348414172    All      0.22862750484397726        -0.039878455502417864      0.08246252229482225        -0.08378130123518061       
Check         All|All|All                           All                  All      0.9971304468940793         0.9966101795212623         0.001293946047850894       -0.00011172533037830112    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6142.893343195745    All      -8.021086231809098e-05     -3.2158488397476938e-06    -0.0001256021926376011     1.9474759963189557e-05     
Lambda        AB|CNIa02|SDSS_r                      6103.43800090398     All      -2.071921451127259e-05     -1.4739680007612477e-05    -0.00020323246654474665    -7.121600460250873e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4326.854338873198    All      -0.00013905128807156157    5.052846345887903e-05      -0.00020305385472062131    5.2691001118474095e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5423.823585601371    All      6.278442444701725e-05      -1.633994394202645e-05     -0.0007102243608519879     -5.7467461181031295e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5413.122417881224    All      4.573163827333996e-05      4.518143462587995e-06      -0.00026477034457554865    -2.5240075575766168e-05    
Lambda        AB|CNIa02|SDSS_g                      4670.875537945685    All      -1.7952113056667178e-05    1.0082077731084679e-05     -1.9941053041638177e-05    8.241780625748348e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7454.256419385581    All      -2.06994654111123e-05      -1.893993658598173e-05     -0.00020846488064524062    -8.729693753507296e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4659.992446533115    All      -0.00018440812906928746    -1.8790696869089291e-06    -0.0005703484756303262     3.400368671694588e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4328.032680642861    All      -0.0003306687959247123     0.00010828574902066436     -0.00048684610292629735    0.00012125623089396547     
Lambda        AB|CNIa02|SDSS_i                      7401.485348414172    All      -1.3310174720890574e-05    -1.3950585784395634e-05    -0.00018615837978981745    -8.515996447788291e-06     
MWEBV         All|All|All                           All                  All      -0.8691522233367461        -4.049059240624864         0.025871320699299483       -1.0346458131440763        
Redshift      All|All|All                           All                  All      6.067972290070022          -0.05605266955672761       6.523912874872205          -1.7036641354297255        
