#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K4_I
@MAGSYS  Linear_AB11_off
58142.37  13.363  0.013
58145.34  13.175  0.009
58146.34  13.165  0.344
58147.31  13.178  0.16
58152.29  13.294  0.019
58153.31  13.34  0.013
58154.42  13.369  0.011
58156.34  13.487  0.015
58157.27  13.562  0.024
58158.29  13.619  0.034
58159.25  13.695  0.012
58160.37  13.783  0.022
58162.3  13.916  0.018
58163.25  13.963  0.019
58164.32  13.982  0.034
58165.26  13.99  0.014
58166.25  13.983  0.016
58167.23  13.961  0.046
58171.32  13.863  0.045
58175.25  13.761  0.025
58177.26  13.772  0.033
58182.24  13.764  0.014
58183.26  13.799  0.014
58184.23  13.86  0.018
58185.21  13.893  0.021
58186.29  14.014  0.199
58188.24  14.123  0.022
58189.22  14.259  0.071
58196.28  14.591  0.026
58204.21  15.016  0.045
58205.21  15.053  0.083
58206.2  15.102  0.036
58207.22  15.156  0.034
58208.22  15.253  0.081
58209.15  15.243  0.041
58210.14  15.276  0.041
58211.17  15.326  0.055
58212.19  15.379  0.087
58217.16  15.596  0.037
58219.23  15.682  0.218
58222.19  15.797  0.036
58227.22  15.963  0.06
58228.22  16.064  0.085
58229.21  16.083  0.081
58230.21  16.08  0.072
58231.2  16.204  0.076
58232.19  16.111  0.106
58234.2  16.335  0.1
58235.2  16.366  0.15
58236.2  16.318  0.093
58239.2  16.543  0.119
58240.2  16.467  0.136
58241.21  16.532  0.126
58242.21  16.468  0.13
58245.2  16.737  0.255
58246.23  16.808  0.166
58247.22  16.672  0.254
58252.2  16.789  0.16
58253.2  17.021  0.182
