#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_i
@MAGSYS  Linear_AB11_off
58425.11639  18.806  0.119
58425.11829  18.78  0.124
58427.18933  19.05  0.136
58427.19122  18.931  0.136
58428.21072  19.05  0.121
58428.21262  19.202  0.123
58436.90139  19.152  0.135
58436.9031  19.038  0.134
58439.01543  18.996  0.129
58441.95224  18.992  0.14
58449.18763  19.631  0.132
58449.18951  19.299  0.127
58453.22655  18.878  0.13
58453.22825  19.594  0.12
58457.03828  20.235  0.153
58464.23275  19.935  0.134
