#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  SWOPE
@BAND  SWOPE_V-LC-9844
@MAGSYS  Linear_AB11_off
56254.25938999979  19.071  0.014
56255.29310999997  18.982  0.013
56257.257290000096  18.961  0.022
56258.238950000145  18.956  0.023
56262.24735999992  18.942  0.015
56263.23632000014  18.995  0.016
56264.306859999895  18.993  0.016
56265.23086000001  19.038  0.015
56266.22147000022  19.08  0.013
56267.23696999997  19.126  0.015
56268.30426000012  19.165  0.015
56271.32235000003  19.329  0.016
56274.24685999984  19.526  0.016
