Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 56360.23475172081 0.9128333371769376
Redshift 1.222 0 F
Color -0.07117790185338757 0.04034115408023312
X0 6.056323984006947e-07 3.304624327989701e-08
X1 -1.2062860982867298 0.5026760572764924
RestFrameMag_0_UX 25.768589761112107 0.0
RestFrameMag_0_B 26.187983233432455 0.05924303728627618
RestFrameMag_0_V 26.247767175744467 0.0
RestFrameMag_0_R 26.27719803811463 0.0
CovDayMaxDayMax 0.8332647014615847 -1
CovDayMaxRestFrameMag_0_B 0.005656014456321522 -1
CovDayMaxX1 -0.05793374298808608 -1
CovDayMaxColor 0.002713862741359108 -1
CovRestFrameMag_0_BDayMax 0.005656014456321559 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0035097374669031097 -1
CovRestFrameMag_0_BX1 0.012969901832242704 -1
CovRestFrameMag_0_BColor 0.001909131700382137 -1
CovX1DayMax -0.057933742988085866 -1
CovX1RestFrameMag_0_B 0.012969901832242713 -1
CovX1X1 0.2526832185590395 -1
CovX1Color 0.0038440989790010207 -1
CovColorDayMax 0.002713862741359133 -1
CovColorRestFrameMag_0_B 0.0019091317003821374 -1
CovColorX1 0.003844098979001023 -1
CovColorColor 0.0016274087125251093 -1

dmu_estimate 0.11040207630858999
FirstPhase  -6.065594833849281
LastPhase  44.61487321295584
LatestNegPhase  -1.6605543297986667
EarliestPosPhase  4.231884914126066
NightsNegPhase  2
NightsPosPhase  6

salt3source   1
salt2_version   salt3-f22
